TaxNodeID	TaxName	TotalReads	AvgDamage+1	AvgUnaggregatedReads	AvgAvgReadGC	AvgAvgRefGC	AIS1_TotalReads	AIS1_Damage+1	AIS1_UnaggregatedReads	AIS1_AvgReadGC	AIS1_AvgRefGC	BV1_TotalReads	BV1_Damage+1	BV1_UnaggregatedReads	BV1_AvgReadGC	BV1_AvgRefGC	BV2_TotalReads	BV2_Damage+1	BV2_UnaggregatedReads	BV2_AvgReadGC	BV2_AvgRefGC	BV3_TotalReads	BV3_Damage+1	BV3_UnaggregatedReads	BV3_AvgReadGC	BV3_AvgRefGC	EM1_TotalReads	EM1_Damage+1	EM1_UnaggregatedReads	EM1_AvgReadGC	EM1_AvgRefGC	EM2_TotalReads	EM2_Damage+1	EM2_UnaggregatedReads	EM2_AvgReadGC	EM2_AvgRefGC	EM3_TotalReads	EM3_Damage+1	EM3_UnaggregatedReads	EM3_AvgReadGC	EM3_AvgRefGC	EM4_TotalReads	EM4_Damage+1	EM4_UnaggregatedReads	EM4_AvgReadGC	EM4_AvgRefGC	LG1_TotalReads	LG1_Damage+1	LG1_UnaggregatedReads	LG1_AvgReadGC	LG1_AvgRefGC	LG2_TotalReads	LG2_Damage+1	LG2_UnaggregatedReads	LG2_AvgReadGC	LG2_AvgRefGC	LG3_TotalReads	LG3_Damage+1	LG3_UnaggregatedReads	LG3_AvgReadGC	LG3_AvgRefGC	LG4_TotalReads	LG4_Damage+1	LG4_UnaggregatedReads	LG4_AvgReadGC	LG4_AvgRefGC	LG5_TotalReads	LG5_Damage+1	LG5_UnaggregatedReads	LG5_AvgReadGC	LG5_AvgRefGC	LG6_TotalReads	LG6_Damage+1	LG6_UnaggregatedReads	LG6_AvgReadGC	LG6_AvgRefGC	LG7_TotalReads	LG7_Damage+1	LG7_UnaggregatedReads	LG7_AvgReadGC	LG7_AvgRefGC	MA1_TotalReads	MA1_Damage+1	MA1_UnaggregatedReads	MA1_AvgReadGC	MA1_AvgRefGC	MA2_TotalReads	MA2_Damage+1	MA2_UnaggregatedReads	MA2_AvgReadGC	MA2_AvgRefGC	MBL1_TotalReads	MBL1_Damage+1	MBL1_UnaggregatedReads	MBL1_AvgReadGC	MBL1_AvgRefGC	MBL2_TotalReads	MBL2_Damage+1	MBL2_UnaggregatedReads	MBL2_AvgReadGC	MBL2_AvgRefGC	MV1_TotalReads	MV1_Damage+1	MV1_UnaggregatedReads	MV1_AvgReadGC	MV1_AvgRefGC	MV2_TotalReads	MV2_Damage+1	MV2_UnaggregatedReads	MV2_AvgReadGC	MV2_AvgRefGC	NC1_TotalReads	NC1_Damage+1	NC1_UnaggregatedReads	NC1_AvgReadGC	NC1_AvgRefGC	NC2_TotalReads	NC2_Damage+1	NC2_UnaggregatedReads	NC2_AvgReadGC	NC2_AvgRefGC	NC3_TotalReads	NC3_Damage+1	NC3_UnaggregatedReads	NC3_AvgReadGC	NC3_AvgRefGC	NC4_TotalReads	NC4_Damage+1	NC4_UnaggregatedReads	NC4_AvgReadGC	NC4_AvgRefGC	NC5_TotalReads	NC5_Damage+1	NC5_UnaggregatedReads	NC5_AvgReadGC	NC5_AvgRefGC	NC6_TotalReads	NC6_Damage+1	NC6_UnaggregatedReads	NC6_AvgReadGC	NC6_AvgRefGC	NC7_TotalReads	NC7_Damage+1	NC7_UnaggregatedReads	NC7_AvgReadGC	NC7_AvgRefGC	PC1_TotalReads	PC1_Damage+1	PC1_UnaggregatedReads	PC1_AvgReadGC	PC1_AvgRefGC	PM1_TotalReads	PM1_Damage+1	PM1_UnaggregatedReads	PM1_AvgReadGC	PM1_AvgRefGC	PM2_TotalReads	PM2_Damage+1	PM2_UnaggregatedReads	PM2_AvgReadGC	PM2_AvgRefGC	RM1_TotalReads	RM1_Damage+1	RM1_UnaggregatedReads	RM1_AvgReadGC	RM1_AvgRefGC	RM2_TotalReads	RM2_Damage+1	RM2_UnaggregatedReads	RM2_AvgReadGC	RM2_AvgRefGC	taxpath
159522	"p__Actinomycetota"	2553075	0.0392	13.3331	0.6513	0.656	2222	0.0415	0.0	0.636	0.64	20817	0.0485	0.0	0.66	0.667	19787	0.1588	0.0	0.654	0.669	403050	0.0686	0.0	0.674	0.682	987	0.037	0.0	0.615	0.619	5476	0.064	0.0	0.59	0.594	15100	0.0454	0.0	0.61	0.613	29969	0.0676	0.0	0.594	0.599	99831	0.03	0.0	0.6	0.602	227049	0.0383	0.0	0.663	0.669	17700	0.0648	0.0	0.516	0.52	19969	0.0743	0.0	0.555	0.56	36538	0.1013	0.0	0.573	0.579	97869	0.0411	0.0	0.66	0.666	177623	0.0259	0.0	0.671	0.675	12015	0.0928	0.0	0.494	0.497	8254	0.0567	0.0	0.542	0.545	127716	0.0564	0.0	0.655	0.662	567532	0.0198	0.0	0.687	0.69	71264	0.0247	0.0	0.643	0.647	159240	0.0274	0.0	0.651	0.655	457	0.011	3.0	0.649	0.65	21	0.0	0.0	0.555	0.553	11293	0.0072	105.0	0.641	0.643	105831	0.007	266.0	0.644	0.646	22421	0.0076	196.0	0.64	0.641	22	0.0	1.0	0.633	0.637	4101	0.0051	75.0	0.668	0.671	130742	0.0158	0.0	0.652	0.655	9701	0.1373	0.0	0.534	0.54	2195	0.0088	0.0	0.634	0.636	20296	0.0506	0.0	0.519	0.524	125987	0.0548	0.0	0.541	0.545	"159522:p__Actinomycetota:phylum;27156:d__Bacteria:superkingdom;1:root:no rank"
27157	"p__Pseudomonadota"	2156593	0.0681	49.3347	0.5947	0.6019	7143	0.0312	0.0	0.604	0.608	6724	0.0099	0.0	0.641	0.643	1293	0.0709	0.0	0.609	0.619	19178	0.1271	0.0	0.608	0.617	2528	0.0725	0.0	0.585	0.594	6086	0.092	0.0	0.595	0.601	27753	0.143	0.0	0.575	0.585	49289	0.1301	0.0	0.575	0.583	11206	0.0978	0.0	0.588	0.596	31042	0.0441	0.0	0.622	0.63	3538	0.0934	0.0	0.555	0.562	2494	0.0537	0.0	0.584	0.59	8100	0.079	0.0	0.605	0.611	119727	0.033	0.0	0.618	0.623	138406	0.027	0.0	0.604	0.607	6172	0.0546	0.0	0.595	0.599	2896	0.0423	0.0	0.58	0.586	97252	0.1242	0.0	0.6	0.609	76049	0.1163	0.0	0.599	0.607	118155	0.0352	0.0	0.611	0.617	267171	0.0435	0.0	0.616	0.622	2078	0.0074	50.0	0.615	0.619	114	0.0	2.0	0.442	0.447	16441	0.0089	390.0	0.6	0.603	37414	0.0094	1226.0	0.598	0.601	36981	0.0096	912.0	0.611	0.614	690	0.0	12.0	0.63	0.631	30812	0.0055	658.0	0.64	0.641	10056	0.0173	0.0	0.643	0.646	3592	0.1399	0.0	0.565	0.573	1052	0.0027	0.0	0.599	0.602	125836	0.0739	0.0	0.573	0.58	889325	0.0826	0.0	0.581	0.59	"27157:p__Pseudomonadota:phylum;27156:d__Bacteria:superkingdom;1:root:no rank"
27158	"c__Gammaproteobacteria"	1733213	0.0767	32.1956	0.5876	0.5947	3999	0.0469	0.0	0.573	0.577	5221	0.0092	0.0	0.648	0.651	661	0.0811	0.0	0.589	0.599	9654	0.154	0.0	0.586	0.595	2070	0.086	0.0	0.573	0.583	3533	0.1479	0.0	0.558	0.565	23852	0.1646	0.0	0.561	0.572	42759	0.146	0.0	0.565	0.574	3593	0.0529	0.0	0.559	0.565	12263	0.0533	0.0	0.604	0.615	2625	0.101	0.0	0.54	0.548	1819	0.0604	0.0	0.573	0.579	3596	0.0529	0.0	0.578	0.583	47806	0.0298	0.0	0.622	0.628	94449	0.0276	0.0	0.604	0.607	4534	0.0605	0.0	0.584	0.589	2026	0.055	0.0	0.563	0.569	84450	0.1378	0.0	0.592	0.601	68867	0.1226	0.0	0.595	0.603	88571	0.037	0.0	0.612	0.618	184756	0.0451	0.0	0.615	0.62	681	0.0109	27.0	0.577	0.58	96	0.0	11.0	0.41	0.416	7250	0.0097	283.0	0.546	0.548	16992	0.0112	522.0	0.545	0.547	18087	0.011	782.0	0.579	0.582	141	0.0	6.0	0.657	0.659	20712	0.006	1483.0	0.633	0.635	2520	0.0137	0.0	0.596	0.597	3162	0.1468	0.0	0.564	0.572	651	0.0047	0.0	0.567	0.57	123128	0.0748	0.0	0.571	0.579	848689	0.0853	0.0	0.579	0.587	"27158:c__Gammaproteobacteria:class;27157:p__Pseudomonadota:phylum;27156:d__Bacteria:superkingdom;1:root:no rank"
193247	"o__Burkholderiales"	1341764	0.0824	1.0816	0.5866	0.5949	2660	0.0419	0.0	0.579	0.583	4314	0.0081	0.0	0.669	0.671	342	0.1146	0.0	0.621	0.632	6420	0.1599	0.0	0.581	0.59	1656	0.0921	0.0	0.578	0.589	2225	0.1981	0.0	0.574	0.584	20490	0.1798	0.0	0.561	0.573	31867	0.1801	0.0	0.567	0.577	2506	0.0528	0.0	0.58	0.587	4792	0.0324	0.0	0.599	0.606	1501	0.1051	0.0	0.571	0.579	590	0.0861	0.0	0.605	0.612	2075	0.065	0.0	0.614	0.62	42177	0.0294	0.0	0.625	0.631	30968	0.0305	0.0	0.636	0.641	2514	0.0784	0.0	0.583	0.589	1323	0.0626	0.0	0.588	0.596	48404	0.1307	0.0	0.585	0.594	42082	0.1193	0.0	0.593	0.601	53439	0.0349	0.0	0.61	0.617	101646	0.0414	0.0	0.62	0.626	315	0.0	13.0	0.633	0.636	8	0.0	0.0	0.627	0.622	2084	0.0065	51.0	0.634	0.637	4310	0.0128	123.0	0.624	0.626	5259	0.0118	149.0	0.641	0.643	117	0.0	1.0	0.666	0.667	1499	0.0083	18.0	0.656	0.657	899	0.0174	0.0	0.636	0.639	2679	0.1498	0.0	0.572	0.58	293	0.0	0.0	0.63	0.631	116089	0.076	0.0	0.571	0.579	804221	0.0864	0.0	0.579	0.588	"193247:o__Burkholderiales:order;27158:c__Gammaproteobacteria:class;27157:p__Pseudomonadota:phylum;27156:d__Bacteria:superkingdom;1:root:no rank"
159523	"c__Actinomycetes"	1064470	0.0368	293.7572	0.6453	0.65	1699	0.0188	0.0	0.632	0.635	20193	0.0473	0.0	0.661	0.669	13982	0.1924	0.0	0.646	0.663	137029	0.071	0.0	0.668	0.676	849	0.0329	0.0	0.613	0.616	5194	0.0662	0.0	0.588	0.592	14107	0.0429	0.0	0.609	0.613	25191	0.0614	0.0	0.588	0.591	16279	0.0258	0.0	0.669	0.672	77195	0.033	0.0	0.681	0.687	1068	0.0521	0.0	0.661	0.667	1341	0.0255	0.0	0.656	0.661	2397	0.0364	0.0	0.665	0.669	70436	0.0286	0.0	0.695	0.701	158933	0.0244	0.0	0.675	0.679	2922	0.0246	0.0	0.612	0.615	847	0.0449	0.0	0.623	0.627	28799	0.0515	0.0	0.632	0.637	125385	0.0189	0.0	0.687	0.69	7269	0.0361	0.0	0.538	0.543	21677	0.0417	0.0	0.582	0.588	438	0.0116	26.0	0.65	0.651	21	0.0	1.0	0.555	0.553	11110	0.0074	559.0	0.64	0.642	105393	0.007	2671.0	0.644	0.646	22015	0.0073	1078.0	0.639	0.641	20	0.0	1.0	0.641	0.642	4003	0.0052	309.0	0.669	0.671	53306	0.0148	0.0	0.655	0.658	667	0.0737	0.0	0.567	0.571	2163	0.0089	0.0	0.634	0.636	17866	0.0519	0.0	0.507	0.512	114676	0.0547	0.0	0.533	0.537	"159523:c__Actinomycetes:class;159522:p__Actinomycetota:phylum;27156:d__Bacteria:superkingdom;1:root:no rank"
201918	"f__Burkholderiaceae"	1013347	0.085	4.9813	0.5855	0.5941	2318	0.0401	0.0	0.583	0.587	4107	0.0072	0.0	0.673	0.675	255	0.0933	0.0	0.631	0.642	4101	0.1583	0.0	0.601	0.611	1257	0.0932	0.0	0.575	0.587	1971	0.2145	0.0	0.576	0.586	19302	0.186	0.0	0.559	0.572	29632	0.185	0.0	0.567	0.578	1275	0.033	0.0	0.621	0.629	3097	0.0328	0.0	0.628	0.636	320	0.0588	0.0	0.588	0.597	283	0.0288	0.0	0.631	0.634	1272	0.0351	0.0	0.652	0.656	40380	0.0288	0.0	0.628	0.634	29663	0.0302	0.0	0.637	0.642	1228	0.0502	0.0	0.624	0.629	498	0.0437	0.0	0.616	0.623	16405	0.112	0.0	0.609	0.619	18413	0.0875	0.0	0.613	0.621	23456	0.0391	0.0	0.594	0.602	45739	0.0468	0.0	0.609	0.617	261	0.0	60.0	0.65	0.653	6	0.0	1.0	0.651	0.646	1622	0.005	213.0	0.647	0.65	3165	0.0099	477.0	0.645	0.648	4242	0.0132	703.0	0.647	0.65	112	0.0	16.0	0.671	0.671	1379	0.0044	140.0	0.665	0.666	630	0.0123	0.0	0.639	0.642	225	0.1061	0.0	0.596	0.603	180	0.0	0.0	0.64	0.641	94276	0.0789	0.0	0.569	0.577	662277	0.0896	0.0	0.579	0.588	"201918:f__Burkholderiaceae:family;193247:o__Burkholderiales:order;27158:c__Gammaproteobacteria:class;27157:p__Pseudomonadota:phylum;27156:d__Bacteria:superkingdom;1:root:no rank"
440399	"c__Thermoleophilia"	812077	0.0393	0.0003	0.6849	0.6904	84	0.1622	0.0	0.66	0.667	251	0.1111	0.0	0.681	0.689	4634	0.0645	0.0	0.687	0.695	197579	0.0662	0.0	0.692	0.702	46	0.0	0.0	0.665	0.669	73	0.0	0.0	0.679	0.685	331	0.0833	0.0	0.647	0.653	3156	0.101	0.0	0.643	0.65	19054	0.0249	0.0	0.647	0.65	95663	0.0398	0.0	0.684	0.69	3502	0.0505	0.0	0.614	0.619	738	0.0636	0.0	0.604	0.609	4300	0.1243	0.0	0.647	0.656	6414	0.0809	0.0	0.623	0.629	5310	0.0287	0.0	0.668	0.671	1321	0.1071	0.0	0.635	0.641	2409	0.0227	0.0	0.674	0.676	62875	0.052	0.0	0.675	0.682	317294	0.0206	0.0	0.695	0.698	18259	0.021	0.0	0.654	0.657	40132	0.022	0.0	0.658	0.661	2	0.0	0.0	0.635	0.671	0	NA	NA	NA	NA	27	0.0	0.0	0.707	0.712	53	0.0	4.0	0.701	0.704	95	0.0606	0.0	0.699	0.7	0	NA	NA	NA	NA	5	0.0	0.0	0.719	0.731	17355	0.0119	0.0	0.684	0.688	4978	0.1256	0.0	0.67	0.677	6	0.0	0.0	0.665	0.672	1000	0.0344	0.0	0.639	0.645	5131	0.0625	0.0	0.641	0.648	"440399:c__Thermoleophilia:class;159522:p__Actinomycetota:phylum;27156:d__Bacteria:superkingdom;1:root:no rank"
517395	"g__Polaromonas"	789595	0.0973	274719.4367	0.5722	0.5819	414	0.1549	237.0	0.569	0.58	11	0.0	1.0	0.584	0.609	19	0.0	6.0	0.562	0.573	1980	0.1749	300.0	0.597	0.606	1014	0.1145	594.0	0.566	0.579	1144	0.3318	680.0	0.536	0.551	17232	0.1993	10114.0	0.552	0.566	23861	0.2169	14112.0	0.552	0.564	466	0.0118	188.0	0.609	0.612	675	0.0302	258.0	0.602	0.606	34	0.2	8.0	0.59	0.602	27	0.0	10.0	0.559	0.562	45	0.2222	20.0	0.61	0.62	6923	0.0312	2672.0	0.579	0.586	2941	0.0296	888.0	0.607	0.612	214	0.129	39.0	0.563	0.571	100	0.0244	31.0	0.582	0.591	6227	0.1436	2985.0	0.571	0.581	6991	0.1347	3643.0	0.569	0.579	9247	0.0357	5156.0	0.562	0.569	16139	0.0456	7398.0	0.579	0.586	3	0.0	0.0	0.694	0.707	0	NA	NA	NA	NA	2	0.0	0.0	0.631	0.631	10	0.0	2.0	0.592	0.596	12	0.0	6.0	0.606	0.601	1	0.0	1.0	0.475	0.475	2	0.0	0.0	0.658	0.662	8	0.0	2.0	0.67	0.684	39	0.3636	9.0	0.56	0.562	2	0.0	1.0	0.617	0.623	89267	0.08	53103.0	0.567	0.575	604545	0.0941	349736.0	0.574	0.584	"517395:g__Polaromonas:genus;201918:f__Burkholderiaceae:family;193247:o__Burkholderiales:order;27158:c__Gammaproteobacteria:class;27157:p__Pseudomonadota:phylum;27156:d__Bacteria:superkingdom;1:root:no rank"
440400	"o__Solirubrobacterales"	658650	0.0381	0.0004	0.6928	0.6985	73	0.2	0.0	0.659	0.665	208	0.1146	0.0	0.688	0.695	4502	0.0606	0.0	0.688	0.696	192250	0.0645	0.0	0.693	0.702	37	0.0	0.0	0.668	0.671	58	0.0	0.0	0.679	0.684	225	0.0795	0.0	0.65	0.655	1930	0.1014	0.0	0.638	0.645	8511	0.0257	0.0	0.683	0.687	81721	0.0388	0.0	0.698	0.705	418	0.0727	0.0	0.67	0.678	78	0.0833	0.0	0.675	0.687	1951	0.1497	0.0	0.67	0.681	1042	0.0541	0.0	0.684	0.691	3436	0.0187	0.0	0.689	0.692	922	0.1201	0.0	0.633	0.64	246	0.0326	0.0	0.653	0.659	52127	0.0454	0.0	0.678	0.685	285461	0.0189	0.0	0.697	0.7	774	0.0219	0.0	0.656	0.664	5186	0.033	0.0	0.636	0.642	2	0.0	1.0	0.635	0.671	0	NA	NA	NA	NA	24	0.0	1.0	0.705	0.71	40	0.0	1.0	0.701	0.702	41	0.0	5.0	0.699	0.698	0	NA	NA	NA	NA	4	0.0	1.0	0.71	0.716	16012	0.0116	0.0	0.684	0.688	14	0.0	0.0	0.629	0.65	3	0.0	0.0	0.679	0.671	196	0.0357	0.0	0.634	0.64	1158	0.0693	0.0	0.652	0.658	"440400:o__Solirubrobacterales:order;440399:c__Thermoleophilia:class;159522:p__Actinomycetota:phylum;27156:d__Bacteria:superkingdom;1:root:no rank"
214361	"c__Bacteroidia"	530060	0.0737	1.5179	0.3885	0.3917	718	0.0281	0.0	0.418	0.42	13120	0.1075	0.0	0.393	0.399	12659	0.1446	0.0	0.405	0.41	26754	0.1319	0.0	0.389	0.393	348	0.0548	0.0	0.391	0.397	1795	0.0722	0.0	0.401	0.401	4174	0.08	0.0	0.41	0.412	7968	0.0911	0.0	0.387	0.389	103281	0.077	0.0	0.352	0.355	56458	0.0664	0.0	0.391	0.394	16282	0.1149	0.0	0.362	0.367	6908	0.1125	0.0	0.377	0.381	11612	0.1303	0.0	0.375	0.379	32778	0.1039	0.0	0.383	0.387	33754	0.062	0.0	0.491	0.493	1931	0.0726	0.0	0.409	0.409	1124	0.0602	0.0	0.413	0.413	9290	0.0686	0.0	0.424	0.426	15087	0.0584	0.0	0.369	0.37	43000	0.0444	0.0	0.393	0.397	70861	0.0536	0.0	0.396	0.4	445	0.0079	19.0	0.426	0.427	11	0.0	1.0	0.251	0.256	2037	0.0201	51.0	0.412	0.414	3305	0.0126	104.0	0.405	0.407	3304	0.0109	105.0	0.389	0.39	0	NA	NA	NA	NA	318	0.0119	5.0	0.434	0.435	518	0.0317	0.0	0.447	0.447	1308	0.1649	0.0	0.398	0.4	335	0.0366	0.0	0.428	0.43	6655	0.0479	0.0	0.344	0.346	41922	0.0382	0.0	0.386	0.387	"214361:c__Bacteroidia:class;214360:p__Bacteroidota:phylum;27156:d__Bacteria:superkingdom;1:root:no rank"
