Sample TaxaWithReadsOver50 SmallLcaLineCount TaxaWithReadsOver50KeepControlTax SmallLcaLineCountKeepControlTax
AIS1 170 13624 286 44301
BV1 412 85256 485 149381
BV2 372 55180 395 78430
BV3 1462 614270 1492 706484
EM1 67 4701 141 14050
EM2 198 20685 354 126682
EM3 341 55183 456 150605
EM4 646 109632 787 289503
LG1 2060 852542 2091 885146
LG2 1851 605532 1881 747764
LG3 1437 328812 1466 338094
LG4 803 482806 853 493231
LG5 979 189688 1093 219723
LG6 1344 401830 1439 531505
LG7 1242 417786 1309 740449
MA1 880 216827 957 250374
MA2 661 173796 724 186729
MBL1 1216 574536 1244 654013
MBL2 1422 779240 1450 907642
MV1 1260 498599 1264 556867
MV2 1978 972461 1999 1113468
PC1 503 162067 590 227674
PM1 552 192575 592 200965
PM2 79 5100 149 32470
RM1 482 198974 547 244112
RM2 1669 1196531 1763 1537977
