Phylum AIS1 BV1 BV2 BV3 EM1 EM2 EM3 EM4 LG1 LG2 LG3 LG4 LG5 LG6 LG7 MA1 MA2 MBL1 MBL2 MV1 MV2 PC1 PM1 PM2 RM1 RM2
Acidobacteriota 0.00563133525215868 0.0013041945717307 0.0034675751307945 0.0143492477180482 0.00627110467920888 0.00425598991172762 0.00200755786490316 0.00285225328009127 0.0140853319277285 0.00756361665780004 0.00178593172870073 0.000495338766029379 0.00739892077207651 0.00192760447321954 0.00434520110877546 0.00413400758533502 0.00317182119924311 0.0211219767622875 0.0323290548709744 0.116569145354145 0.130153535600685 0.0239350974527577 0.00694401079069303 0.00536480686695279 0.00581746244635193 0.00730109404283266
Actinomycetota 0.169440620698286 0.311068029608742 0.394847305024942 0.677454256355692 0.229618909792571 0.212641866330391 0.35998267989293 0.247973171532784 0.0936107729571667 0.304930394239888 0.0507417705077729 0.0167116719606999 0.107109435810427 0.307175789680204 0.324929379464738 0.0392414664981037 0.0269721127896516 0.255827118212309 0.756640572524211 0.0699160468700896 0.0901257034499633 0.841000936094431 0.0318412868900573 0.402002861230329 0.0609911480686695 0.0894007592625222
Atribacterota 0 0.00389495946422277 0.014752402968731 0.143124854295808 0 0 0 0 0.261852470057688 0.171002501379559 0.183296464666964 0.0396727878675666 0.157187710445072 0.133995487541691 0.0279793933464659 0.214405815423515 0.123600210937742 0 0 0 0 0 0.261280895227866 0 0 0
Bacillota 0.0799649605806532 0.408389143461403 0.206016547025186 0.0319921573784603 0.0680173661360347 0.0905580075662043 0.126869784285939 0.113606112465211 0.0142735825771932 0.00586849418272297 0.00610869829930592 0.00153651199753773 0.014141908851593 0.0060525799489896 0.00464487015075997 0.0100063211125158 0.00549058535223501 0.00115693239552228 0.00114797943407056 0.00202026248447391 0.00239708221189136 0.00652982944816092 0.0036281207458567 0.219241773962804 0.00539833690987124 0.0210511140655785
Bacteroidota 0.0687022900763359 0.0934966513923158 0.14536439956199 0.0308175574298677 0.112397491558128 0.114123581336696 0.118878916706031 0.0995522826669432 0.100130520450296 0.0576903378018921 0.0456883955026992 0.0102506269882682 0.0673948977182288 0.0748087110064744 0.0960527417513893 0.0125916561314791 0.00860812110308031 0.0170178740748079 0.010698191321764 0.0678658545710309 0.0577670051382432 0.00373676720168649 0.051624224106708 0.0783261802575107 0.0756102467811159 0.102308222140351
CAIJMQ01 0 8.8121254846669e-05 0.000182503954252342 2.6899235463952e-05 0 0 0 0 0.0400681049016286 0.00118955963163303 0.00515992206843366 0.00264741738542886 0.00147803500056847 0.00181969786148715 0.000652220856083943 0.000120101137800253 0.000116325960852437 0 0 0 0 0 8.74245962857036e-05 0 0 0
Chloroflexota 0.00387936428482042 0.0145047585477617 0.0349495072393235 0.0168897310674214 0.0120598166907863 0.00204918032786885 0.00228310502283105 0.00262753029438711 0.00846918755203039 0.0246073627132533 0.037463976945245 0.00842316357961609 0.0541363115592832 0.0300912301353738 0.0180770942679482 0.0350252844500632 0.0238933523590905 0.0570647174537581 0.0621301124775594 0.0331697170136031 0.0366176290677759 0.0202972670608918 0.0112527944647741 0.00536480686695279 0.0124061158798283 0.0124173060596838
Cyanobacteriota 0.00550619446877737 0.0013570673246387 0.00057792918846575 0.0151562247819668 0.00482392667631452 0.226276796973518 0.00354274917335853 0.00352642223720375 0.000493635036374209 0.0263850934960827 0.000578398343954215 0.000141868869882201 0.000892068461881565 0.00064743967039435 0.000405434586214343 0.00104930467762326 0.000573874740205354 0.410201525594034 0.00365887913242065 0.00829055863998922 0.00664072057744067 0.0303964321864274 0.000418389139367296 0.00572246065808298 0.00301770386266094 0.00579858719505358
Desulfobacterota 0.00100112626705043 0.0073493126542122 0.0119844263292371 0.00786952077517619 0 0.000394073139974779 0.00177137458667926 0.00197064772079033 0.20565755951858 0.168131036602089 0.189126111133661 0.0546724151612135 0.302236293193168 0.132210123602119 0.0624457400723613 0.088204804045512 0.095115860657009 0.00300024058532996 0.00284796600026868 0.0359307424090508 0.0259626559823832 0.000684947144911984 0.106158438346926 0 0.0026824034334764 0.00272950071280975
Gemmatimonadota 0 0.000317236517448008 0.00109502372551405 0.00198755462039201 0.00530631934394597 0.0026796973518285 0.000708549834671705 0.000743314491175301 0.000435068167651845 0.000485736849583489 0.000162357429881885 5.29002565662443e-05 0.000647186923325841 0.000461055522856582 0.000550862209530357 0.000309734513274336 0.000201631665477557 0.0347079718656685 0.00249868715117912 0.0233527378297891 0.0202509481282114 0.00101981019353562 0.000830533664714184 0 0.00167650214592275 0.00332537762898653
Halobacteriota 0 0.00037010927035601 0.000669181165591921 0.00344907974726674 0 0.000472887767969735 0.000275547157927885 0.000207436602188456 0.00178419782214915 0.00341337527632479 0.0168953200470837 0.00042801116676325 0.00278990038568842 0.00261428291151658 0.0005244208234729 0.086441213653603 0.106562335204889 7.07603911634424e-05 0.000166090641525103 0.000269368331263188 0.000290555419623196 0.00019787361964124 0.0550212941338096 0 0.000285005364806867 0.00020503291739416
Nanoarchaeota 0.000875985483669128 0.000264363764540007 0.00057792918846575 0.000155417804902834 0 0 0 0.000172863835157047 0.0109038959517744 0.0200506884576368 0.109398465722288 0.0152545103480116 0.0271031388565781 0.026015303119482 0.0146397140804788 0.00369152970922882 0.0020783571672302 0.000219357212606671 0.000129453000012213 0 3.82309762662099e-05 0 0.00154866427706103 0 0.000352065450643777 0.000185811081388457
