Tax	TotalReads	MeanDamage	AIS1_reads	AIS1_damage	BV1_reads	BV1_damage	BV2_reads	BV2_damage	BV3_reads	BV3_damage	EM1_reads	EM1_damage	EM2_reads	EM2_damage	EM3_reads	EM3_damage	EM4_reads	EM4_damage	LG1_reads	LG1_damage	LG2_reads	LG2_damage	LG3_reads	LG3_damage	LG4_reads	LG4_damage	LG5_reads	LG5_damage	LG6_reads	LG6_damage	LG7_reads	LG7_damage	MA1_reads	MA1_damage	MA2_reads	MA2_damage	MBL1_reads	MBL1_damage	MBL2_reads	MBL2_damage	MV1_reads	MV1_damage	MV2_reads	MV2_damage	NC1_reads	NC1_damage	NC2_reads	NC2_damage	NC3_reads	NC3_damage	NC4_reads	NC4_damage	NC5_reads	NC5_damage	PC1_reads	PC1_damage	PM1_reads	PM1_damage	PM2_reads	PM2_damage	RM1_reads	RM1_damage	RM2_reads	RM2_damage	TaxPath
101055:p__Actinomycetota:phylum	1297056	0.034	1354	0.0117	17650	0.0439	12981	0.1644	226664	0.0629	476	0.0105	2698	0.0106	9145	0.0144	14345	0.0319	44754	0.0288	92282	0.0334	10001	0.0613	6950	0.0665	12247	0.0693	62627	0.032	73732	0.0343	6208	0.0849	3478	0.0794	72308	0.0487	309780	0.018	9344	0.0245	23574	0.031	439	0.0058	17	0.0	10777	0.0081	103490	0.0086	21463	0.0093	110505	0.0165	5099	0.1409	1124	0.005	3638	0.0537	27906	0.0369	"101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14525:p__Pseudomonadota:phylum	667216	0.043	4487	0.0188	4753	0.0101	840	0.0639	9064	0.1034	1067	0.0352	3698	0.0309	7809	0.0713	21938	0.0444	8257	0.0919	19157	0.0399	2383	0.0818	2077	0.0365	6117	0.0795	32560	0.0304	90761	0.0293	4611	0.0402	1896	0.033	29125	0.0835	28989	0.0838	31115	0.0316	75768	0.0392	1830	0.0103	113	0.0276	15397	0.0116	35248	0.0123	34555	0.0113	7667	0.0121	2372	0.1204	737	0.0039	20084	0.0562	162741	0.0501	"14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101056:c__Actinomycetia:class	665597	0.03	1167	0.0073	17304	0.0434	9895	0.1917	117329	0.0609	430	0.0	2523	0.0103	8677	0.012	12599	0.0241	11640	0.0258	45104	0.0281	622	0.0287	955	0.021	1546	0.0304	51315	0.0222	65958	0.0332	1677	0.0163	525	0.0481	15212	0.0327	80762	0.0163	1613	0.0284	5321	0.0414	429	0.0059	17	0.0	10675	0.0081	103186	0.0086	21218	0.009	50821	0.0145	301	0.0282	1105	0.0051	2570	0.054	23101	0.0338	"101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14526:c__Gammaproteobacteria:class	459799	0.048	2444	0.0187	3842	0.0094	428	0.0649	4504	0.1355	713	0.0431	1720	0.0462	5826	0.0911	16944	0.0519	2660	0.0433	7404	0.0555	1795	0.0953	1544	0.045	2597	0.0393	20305	0.0314	78125	0.0274	3265	0.0363	1225	0.0416	21683	0.1014	24163	0.0891	19220	0.0354	39260	0.0447	604	0.0141	95	0.0353	7021	0.0119	16596	0.0151	17411	0.013	2066	0.0123	2066	0.1277	414	0.0077	18271	0.0582	135588	0.0555	"14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
297870:p__Atribacterota:phylum	421497	0.111	0	NA	221	0.0723	485	0.0749	47887	0.1072	0	NA	0	NA	0	NA	0	NA	125188	0.0781	51751	0.0921	36127	0.0926	16499	0.0687	17973	0.0881	27319	0.1365	6349	0.1661	33919	0.1349	15938	0.0771	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	41841	0.2516	0	NA	0	NA	0	NA	"297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
297872:o__SB-45:order	421448	0.111	0	NA	220	0.0723	485	0.0749	47884	0.1072	0	NA	0	NA	0	NA	0	NA	125180	0.0781	51746	0.0921	36118	0.0927	16496	0.0688	17970	0.0881	27316	0.1365	6348	0.1661	33916	0.1349	15934	0.0771	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	41835	0.2516	0	NA	0	NA	0	NA	"297872:o__SB-45:order;297871:c__JS1:class;297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
297871:c__JS1:class	421448	0.111	0	NA	220	0.0723	485	0.0749	47884	0.1072	0	NA	0	NA	0	NA	0	NA	125180	0.0781	51746	0.0921	36118	0.0927	16496	0.0688	17970	0.0881	27316	0.1365	6348	0.1661	33916	0.1349	15934	0.0771	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	41835	0.2516	0	NA	0	NA	0	NA	"297871:c__JS1:class;297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
297873:f__34-128:family	417971	0.111	0	NA	220	0.0723	483	0.0757	47668	0.1074	0	NA	0	NA	0	NA	0	NA	123891	0.0777	51240	0.0918	35815	0.0926	16309	0.069	17769	0.0882	27032	0.1371	6280	0.1662	33749	0.1349	15839	0.0771	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	41676	0.2518	0	NA	0	NA	0	NA	"297873:f__34-128:family;297872:o__SB-45:order;297871:c__JS1:class;297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
343024:g__34-128:genus	388810	0.112	0	NA	199	0.0822	441	0.0745	43526	0.1086	0	NA	0	NA	0	NA	0	NA	117638	0.0779	48330	0.092	33635	0.0923	15220	0.0696	16416	0.0897	25260	0.1376	5808	0.1671	30212	0.138	14188	0.0784	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	37937	0.2558	0	NA	0	NA	0	NA	"343024:g__34-128:genus;297873:f__34-128:family;297872:o__SB-45:order;297871:c__JS1:class;297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
268504:p__Nitrospinota:phylum	385510	0.229	0	NA	9	0.5	0	NA	13	0.0	0	NA	0	NA	0	NA	8	0.0	51	0.0	331	0.3111	43	0.4118	332534	0.2232	5	0.0	11	0.3333	12	0.0	6273	0.1406	5497	0.1454	10	0.0	12	0.0	7	0.0	14	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	40651	0.2982	0	NA	0	NA	29	0.0	"268504:p__Nitrospinota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
