TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
63358	"c__Bacilli"	19853	2.132	2.28	0.2024	0.1243	66.73	0.9671	0.379	0.394	360603	0.531	22933	0.493	0.241	"63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
63357	"p__Bacillota"	19853	2.132	2.28	0.2024	0.1243	66.73	0.9671	0.379	0.394	360603	0.531	22933	0.493	0.241	"63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101055	"p__Actinomycetota"	17650	1.118	2.39	0.0439	0.0311	67.33	0.9667	0.658	0.666	620800	0.106	19869	0.128	0.026	"101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101056	"c__Actinomycetia"	17304	1.117	2.39	0.0434	0.0309	67.52	0.9666	0.66	0.667	612325	0.105	18611	0.127	0.025	"101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
167186	"o__Bacillales"	15500	2.139	2.27	0.2069	0.1285	66.92	0.9674	0.38	0.396	281998	0.533	17917	0.508	0.254	"167186:o__Bacillales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
237019	"f__Planococcaceae"	14928	2.159	2.27	0.2098	0.1289	67.33	0.9677	0.38	0.397	271969	0.537	17249	0.511	0.258	"237019:f__Planococcaceae:family;167186:o__Bacillales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
357116	"g__Paenisporosarcina"	14619	2.174	2.26	0.2111	0.1298	67.6	0.9678	0.38	0.397	266325	0.54	16862	0.513	0.26	"357116:g__Paenisporosarcina:genus;237019:f__Planococcaceae:family;167186:o__Bacillales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
171647	"o__Actinomycetales"	12162	1.121	2.41	0.0271	0.0197	71.85	0.9664	0.66	0.664	475683	0.108	12977	0.108	0.02	"171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
379101	"RS_GCF_004367585.1"	11634	2.508	2.24	0.2212	0.1341	69.0	0.9671	0.385	0.403	190166	0.601	13067	0.543	0.284	"379101:RS_GCF_004367585.1:subspecies;379100:s__Paenisporosarcina antarctica:species;357116:g__Paenisporosarcina:genus;237019:f__Planococcaceae:family;167186:o__Bacillales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
379100	"s__Paenisporosarcina antarctica"	11634	2.508	2.24	0.2212	0.1341	69.0	0.9671	0.385	0.403	190166	0.601	13067	0.543	0.284	"379100:s__Paenisporosarcina antarctica:species;357116:g__Paenisporosarcina:genus;237019:f__Planococcaceae:family;167186:o__Bacillales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
187121	"f__Micrococcaceae"	10700	1.111	2.42	0.0173	0.0133	73.44	0.9659	0.661	0.665	437420	0.1	11236	0.098	0.017	"187121:f__Micrococcaceae:family;171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
304979	"g__Arthrobacter"	9361	1.116	2.45	0.0139	0.0126	74.82	0.9639	0.665	0.668	392777	0.104	9538	0.097	0.017	"304979:g__Arthrobacter:genus;187121:f__Micrococcaceae:family;171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
173790	"p__Bacteroidota"	5305	1.333	2.43	0.1079	0.0893	54.25	0.968	0.402	0.406	104472	0.25	8387	0.302	0.101	"173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14525	"p__Pseudomonadota"	4753	1.037	2.59	0.0101	0.0158	66.45	0.9777	0.642	0.651	176310	0.035	5291	0.074	0.013	"14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
173791	"c__Bacteroidia"	4660	1.398	2.44	0.1069	0.0864	53.92	0.9677	0.401	0.406	86370	0.285	7579	0.3	0.102	"173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
414020	"RS_GCF_019977335.1"	4462	1.12	2.5	0.0096	0.011	77.12	0.9647	0.668	0.67	195638	0.107	4478	0.096	0.018	"414020:RS_GCF_019977335.1:subspecies;414019:s__Arthrobacter sp019977335:species;304979:g__Arthrobacter:genus;187121:f__Micrococcaceae:family;171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
414019	"s__Arthrobacter sp019977335"	4462	1.12	2.5	0.0096	0.011	77.12	0.9647	0.668	0.67	195638	0.107	4478	0.096	0.018	"414019:s__Arthrobacter sp019977335:species;304979:g__Arthrobacter:genus;187121:f__Micrococcaceae:family;171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
173792	"o__Bacteroidales"	4152	1.451	2.43	0.1157	0.0935	54.15	0.9668	0.401	0.407	74862	0.311	7010	0.321	0.112	"173792:o__Bacteroidales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14526	"c__Gammaproteobacteria"	3842	1.04	2.63	0.0094	0.0122	68.03	0.9771	0.646	0.655	147834	0.039	4280	0.077	0.014	"14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
241060	"f__Prolixibacteraceae"	3502	1.436	2.42	0.1161	0.0978	53.9	0.9667	0.398	0.402	63179	0.304	6273	0.325	0.115	"241060:f__Prolixibacteraceae:family;173792:o__Bacteroidales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
177040	"o__Propionibacteriales"	3333	1.146	2.27	0.0943	0.0645	57.12	0.9644	0.656	0.672	84727	0.127	3635	0.193	0.042	"177040:o__Propionibacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
137197	"o__Burkholderiales"	3088	1.037	2.68	0.0081	0.0125	70.04	0.9769	0.669	0.675	125164	0.036	3396	0.075	0.014	"137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
270462	"f__Nocardioidaceae"	3020	1.148	2.27	0.094	0.0663	57.63	0.9644	0.657	0.673	77938	0.129	3131	0.193	0.044	"270462:f__Nocardioidaceae:family;177040:o__Propionibacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
122149	"p__Bacillota_A"	2831	2.004	2.55	0.1554	0.1095	61.84	0.9652	0.432	0.442	47793	0.501	3332	0.396	0.157	"122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
122150	"c__Clostridia"	2827	2.006	2.55	0.1556	0.1095	61.86	0.9652	0.432	0.442	47706	0.502	3321	0.396	0.157	"122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
233990	"f__Burkholderiaceae_B"	2437	1.03	2.76	0.0071	0.012	70.99	0.9776	0.684	0.688	101695	0.029	2485	0.069	0.013	"233990:f__Burkholderiaceae_B:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
481592	"RS_GCF_000286315.1"	2323	1.316	2.44	0.1676	0.1123	64.1	0.9713	0.355	0.366	63741	0.24	2448	0.408	0.179	"481592:RS_GCF_000286315.1:subspecies;481591:s__Paenisporosarcina sp000286315:species;357116:g__Paenisporosarcina:genus;237019:f__Planococcaceae:family;167186:o__Bacillales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
481591	"s__Paenisporosarcina sp000286315"	2323	1.316	2.44	0.1676	0.1123	64.1	0.9713	0.355	0.366	63741	0.24	2448	0.408	0.179	"481591:s__Paenisporosarcina sp000286315:species;357116:g__Paenisporosarcina:genus;237019:f__Planococcaceae:family;167186:o__Bacillales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
340150	"g__UBA6024"	2218	1.076	2.43	0.0861	0.075	48.85	0.9648	0.397	0.398	42986	0.071	4538	0.264	0.081	"340150:g__UBA6024:genus;241060:f__Prolixibacteraceae:family;173792:o__Bacteroidales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
310006	"g__Methylibium"	1975	1.031	2.82	0.0063	0.0133	72.82	0.9768	0.689	0.692	85834	0.03	1983	0.075	0.014	"310006:g__Methylibium:genus;233990:f__Burkholderiaceae_B:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
249459	"o__Bacillales_H"	1874	3.87	2.69	0.2514	0.1398	75.04	0.9623	0.337	0.351	22775	0.742	1902	0.584	0.299	"249459:o__Bacillales_H:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
301202	"f__Salisediminibacteriaceae"	1837	3.929	2.69	0.2507	0.1436	75.58	0.9623	0.336	0.35	22245	0.745	1838	0.589	0.304	"301202:f__Salisediminibacteriaceae:family;249459:o__Bacillales_H:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
362819	"RS_GCF_002886185.1"	1834	3.931	2.69	0.2515	0.1436	75.64	0.9623	0.336	0.35	22225	0.746	1834	0.589	0.304	"362819:RS_GCF_002886185.1:subspecies;362818:s__Salipaludibacillus neizhouensis:species;301203:g__Salipaludibacillus:genus;301202:f__Salisediminibacteriaceae:family;249459:o__Bacillales_H:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
362818	"s__Salipaludibacillus neizhouensis"	1834	3.931	2.69	0.2515	0.1436	75.64	0.9623	0.336	0.35	22225	0.746	1834	0.589	0.304	"362818:s__Salipaludibacillus neizhouensis:species;301203:g__Salipaludibacillus:genus;301202:f__Salisediminibacteriaceae:family;249459:o__Bacillales_H:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
301203	"g__Salipaludibacillus"	1834	3.931	2.69	0.2515	0.1436	75.64	0.9623	0.336	0.35	22225	0.746	1834	0.589	0.304	"301203:g__Salipaludibacillus:genus;301202:f__Salisediminibacteriaceae:family;249459:o__Bacillales_H:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
310009	"RS_GCF_000015725.1"	1767	1.035	2.83	0.007	0.0146	73.08	0.9777	0.689	0.693	76989	0.033	1774	0.071	0.014	"310009:RS_GCF_000015725.1:subspecies;310007:s__Methylibium petroleiphilum:species;310006:g__Methylibium:genus;233990:f__Burkholderiaceae_B:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
310007	"s__Methylibium petroleiphilum"	1767	1.035	2.83	0.007	0.0146	73.08	0.9777	0.689	0.693	76989	0.033	1774	0.071	0.014	"310007:s__Methylibium petroleiphilum:species;310006:g__Methylibium:genus;233990:f__Burkholderiaceae_B:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
226945	"o__Paenibacillales"	1756	1.391	1.95	0.1725	0.1065	59.4	0.9651	0.417	0.427	39642	0.281	2294	0.376	0.131	"226945:o__Paenibacillales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
249843	"p__Patescibacteria"	1594	1.198	2.51	0.097	0.0508	55.53	0.9643	0.447	0.455	36632	0.165	3549	0.287	0.089	"249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
270463	"g__Nocardioides"	1506	1.112	2.41	0.0985	0.0523	59.81	0.9659	0.67	0.685	43103	0.1	1514	0.183	0.044	"270463:g__Nocardioides:genus;270462:f__Nocardioidaceae:family;177040:o__Propionibacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101057	"o__Mycobacteriales"	1285	1.01	2.48	0.0348	0.0254	59.42	0.975	0.672	0.684	39990	0.01	1419	0.1	0.023	"101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
178743	"o__Clostridiales"	1275	2.191	2.15	0.2028	0.155	63.67	0.9624	0.405	0.417	20756	0.544	1335	0.499	0.213	"178743:o__Clostridiales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
178744	"f__Clostridiaceae"	1261	2.191	2.14	0.2029	0.1534	63.49	0.9625	0.405	0.417	20429	0.544	1321	0.496	0.21	"178744:f__Clostridiaceae:family;178743:o__Clostridiales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
399246	"f__UBA4045"	1245	1.316	1.84	0.1743	0.1106	59.14	0.9664	0.434	0.447	29453	0.24	1553	0.358	0.124	"399246:f__UBA4045:family;226945:o__Paenibacillales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
399247	"g__UBA4045"	1240	1.316	1.84	0.1749	0.1109	59.06	0.9664	0.433	0.447	29261	0.24	1545	0.358	0.124	"399247:g__UBA4045:genus;399246:f__UBA4045:family;226945:o__Paenibacillales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
249844	"c__Paceibacteria"	1103	1.198	2.46	0.1039	0.0506	54.79	0.964	0.45	0.461	24665	0.165	2763	0.289	0.09	"249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
297216	"g__JAAFHB01"	1048	2.403	2.42	0.1815	0.1492	66.91	0.9708	0.393	0.405	16967	0.584	1055	0.472	0.205	"297216:g__JAAFHB01:genus;241060:f__Prolixibacteraceae:family;173792:o__Bacteroidales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
395631	"GB_GCA_010906965.1"	1007	2.44	2.43	0.1865	0.1443	67.95	0.9709	0.393	0.406	16484	0.59	1012	0.484	0.212	"395631:GB_GCA_010906965.1:subspecies;395630:s__JAAFHB01 sp010906965:species;297216:g__JAAFHB01:genus;241060:f__Prolixibacteraceae:family;173792:o__Bacteroidales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
395630	"s__JAAFHB01 sp010906965"	1007	2.44	2.43	0.1865	0.1443	67.95	0.9709	0.393	0.406	16484	0.59	1012	0.484	0.212	"395630:s__JAAFHB01 sp010906965:species;297216:g__JAAFHB01:genus;241060:f__Prolixibacteraceae:family;173792:o__Bacteroidales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
257589	"p__Nitrospirota"	990	1.171	2.36	0.1256	0.063	55.38	0.9672	0.406	0.41	23144	0.146	1487	0.286	0.094	"257589:p__Nitrospirota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
190738	"o__Lachnospirales"	942	2.222	3.09	0.1705	0.064	62.5	0.9662	0.465	0.474	14631	0.55	1266	0.355	0.146	"190738:o__Lachnospirales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
276730	"c__Thermodesulfovibrionia"	937	1.179	2.37	0.1299	0.0663	55.65	0.9672	0.402	0.406	21969	0.152	1431	0.296	0.099	"276730:c__Thermodesulfovibrionia:class;257589:p__Nitrospirota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
190739	"f__Lachnospiraceae"	930	2.224	3.09	0.1723	0.0616	62.63	0.9662	0.466	0.474	14482	0.55	1254	0.356	0.146	"190739:f__Lachnospiraceae:family;190738:o__Lachnospirales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
159315	"c__Alphaproteobacteria"	909	0.993	2.42	0.0132	0.0314	59.83	0.9803	0.624	0.628	29148	0	1008	0.063	0.008	"159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
489394	"RS_GCF_001422645.1"	860	1.089	2.51	0.0199	0.011	74.4	0.9625	0.673	0.677	36644	0.082	860	0.102	0.016	"489394:RS_GCF_001422645.1:subspecies;489393:s__Arthrobacter sp001422645:species;304979:g__Arthrobacter:genus;187121:f__Micrococcaceae:family;171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
489393	"s__Arthrobacter sp001422645"	860	1.089	2.51	0.0199	0.011	74.4	0.9625	0.673	0.677	36644	0.082	860	0.102	0.016	"489393:s__Arthrobacter sp001422645:species;304979:g__Arthrobacter:genus;187121:f__Micrococcaceae:family;171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
276731	"o__Thermodesulfovibrionales"	857	1.184	2.36	0.1384	0.0638	56.37	0.9674	0.402	0.406	20539	0.155	1253	0.297	0.101	"276731:o__Thermodesulfovibrionales:order;276730:c__Thermodesulfovibrionia:class;257589:p__Nitrospirota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
252024	"p__Chloroflexota"	823	1.038	1.92	0.1034	0.0531	49.03	0.9654	0.519	0.524	16674	0.036	1270	0.237	0.067	"252024:p__Chloroflexota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
351805	"g__Clostridium_AM"	681	2.207	1.96	0.216	0.1675	64.55	0.9628	0.436	0.448	11279	0.547	681	0.492	0.219	"351805:g__Clostridium_AM:genus;178744:f__Clostridiaceae:family;178743:o__Clostridiales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
372891	"RS_GCF_001623875.1"	680	2.21	1.96	0.216	0.1675	64.58	0.9628	0.436	0.448	11259	0.547	680	0.493	0.219	"372891:RS_GCF_001623875.1:subspecies;372889:s__Clostridium_AM magnum:species;351805:g__Clostridium_AM:genus;178744:f__Clostridiaceae:family;178743:o__Clostridiales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
372889	"s__Clostridium_AM magnum"	680	2.21	1.96	0.216	0.1675	64.58	0.9628	0.436	0.448	11259	0.547	680	0.493	0.219	"372889:s__Clostridium_AM magnum:species;351805:g__Clostridium_AM:genus;178744:f__Clostridiaceae:family;178743:o__Clostridiales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
475907	"GB_GCA_002383695.1"	605	1.385	1.88	0.1679	0.1529	60.51	0.9651	0.434	0.447	14195	0.278	624	0.327	0.114	"475907:GB_GCA_002383695.1:subspecies;475906:s__UBA4045 sp002383695:species;399247:g__UBA4045:genus;399246:f__UBA4045:family;226945:o__Paenibacillales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
475906	"s__UBA4045 sp002383695"	605	1.385	1.88	0.1679	0.1529	60.51	0.9651	0.434	0.447	14195	0.278	624	0.327	0.114	"475906:s__UBA4045 sp002383695:species;399247:g__UBA4045:genus;399246:f__UBA4045:family;226945:o__Paenibacillales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
243063	"f__Dermatophilaceae"	597	1.482	2.35	0.129	0.0962	60.03	0.9674	0.657	0.669	12906	0.325	645	0.254	0.068	"243063:f__Dermatophilaceae:family;171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
398078	"RS_GCF_007679325.1"	573	1.068	2.53	0.009	0.0166	74.28	0.9625	0.67	0.675	24828	0.064	574	0.127	0.019	"398078:RS_GCF_007679325.1:subspecies;398077:s__Arthrobacter sp007679325:species;304979:g__Arthrobacter:genus;187121:f__Micrococcaceae:family;171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
398077	"s__Arthrobacter sp007679325"	573	1.068	2.53	0.009	0.0166	74.28	0.9625	0.67	0.675	24828	0.064	574	0.127	0.019	"398077:s__Arthrobacter sp007679325:species;304979:g__Arthrobacter:genus;187121:f__Micrococcaceae:family;171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
284430	"f__UBA1546"	570	1.102	2.29	0.1412	0.0496	56.25	0.9679	0.415	0.423	14612	0.092	746	0.295	0.103	"284430:f__UBA1546:family;276731:o__Thermodesulfovibrionales:order;276730:c__Thermodesulfovibrionia:class;257589:p__Nitrospirota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
459599	"g__UBA4001"	546	1.131	2.11	0.0793	0.0787	54.75	0.9625	0.637	0.654	12911	0.116	579	0.223	0.042	"459599:g__UBA4001:genus;270462:f__Nocardioidaceae:family;177040:o__Propionibacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
222691	"g__Bariatricus"	539	4.311	3.64	0.2493	0.0938	62.81	0.9601	0.518	0.532	4352	0.768	728	0.464	0.205	"222691:g__Bariatricus:genus;190739:f__Lachnospiraceae:family;190738:o__Lachnospirales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
294560	"RS_GCF_900086725.1"	536	4.379	3.65	0.2507	0.0944	62.82	0.9599	0.518	0.532	4262	0.772	725	0.466	0.206	"294560:RS_GCF_900086725.1:subspecies;294555:s__Bariatricus massiliensis:species;222691:g__Bariatricus:genus;190739:f__Lachnospiraceae:family;190738:o__Lachnospirales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
294555	"s__Bariatricus massiliensis"	536	4.379	3.65	0.2507	0.0944	62.82	0.9599	0.518	0.532	4262	0.772	725	0.466	0.206	"294555:s__Bariatricus massiliensis:species;222691:g__Bariatricus:genus;190739:f__Lachnospiraceae:family;190738:o__Lachnospirales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
219704	"f__Microbacteriaceae"	526	1.068	2.44	0.0312	0.0213	63.55	0.9742	0.651	0.652	17515	0.063	695	0.086	0.011	"219704:f__Microbacteriaceae:family;171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
263628	"o__UBA10030"	520	1.018	2.3	0.129	0.1199	58.18	0.9723	0.412	0.417	15425	0.017	667	0.323	0.103	"263628:o__UBA10030:order;263627:c__UBA10030:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
263627	"c__UBA10030"	520	1.018	2.3	0.129	0.1199	58.18	0.9723	0.412	0.417	15425	0.017	667	0.323	0.103	"263627:c__UBA10030:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
326109	"g__Arthrobacter_D"	516	1.073	2.21	0.0154	0.0095	68.66	0.9814	0.639	0.643	19550	0.068	833	0.052	0.01	"326109:g__Arthrobacter_D:genus;187121:f__Micrococcaceae:family;171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
274399	"f__Pseudonocardiaceae"	497	0.997	2.83	0.0138	0.0082	64.59	0.9798	0.708	0.717	18234	0	539	0.071	0.018	"274399:f__Pseudonocardiaceae:family;101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
147451	"f__Burkholderiaceae"	465	1.002	2.41	0.0108	0.0145	68.77	0.9718	0.619	0.627	18915	0.002	657	0.105	0.022	"147451:f__Burkholderiaceae:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101058	"f__Mycobacteriaceae"	464	1.019	2.17	0.0282	0.0357	55.69	0.978	0.631	0.636	12605	0.019	478	0.11	0.028	"101058:f__Mycobacteriaceae:family;101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
