TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
14525	"p__Pseudomonadota"	21938	1.028	2.35	0.0444	0.021	62.27	0.9783	0.596	0.602	731362	0.027	27634	0.105	0.018	"14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14526	"c__Gammaproteobacteria"	16944	1.03	2.3	0.0519	0.0256	61.88	0.9782	0.583	0.589	557442	0.029	22017	0.114	0.02	"14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101055	"p__Actinomycetota"	14345	1.018	2.57	0.0319	0.0168	64.02	0.9806	0.649	0.658	507700	0.017	19761	0.072	0.014	"101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101056	"c__Actinomycetia"	12599	1.022	2.6	0.0241	0.0113	65.74	0.9822	0.652	0.661	465095	0.022	14876	0.063	0.012	"101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
171647	"o__Actinomycetales"	7884	1.039	2.68	0.0244	0.0112	66.91	0.982	0.672	0.678	295316	0.037	8650	0.062	0.012	"171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
137197	"o__Burkholderiales"	7676	1.038	2.3	0.0792	0.0416	56.32	0.9722	0.6	0.614	209389	0.037	11497	0.151	0.028	"137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
173790	"p__Bacteroidota"	5759	1.014	2.57	0.0829	0.0401	55.88	0.9755	0.396	0.402	158284	0.014	6506	0.153	0.032	"173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
173791	"c__Bacteroidia"	5702	1.015	2.57	0.0826	0.0387	55.99	0.9756	0.395	0.402	157317	0.014	6445	0.152	0.032	"173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
249843	"p__Patescibacteria"	5088	1.185	2.27	0.1886	0.0989	47.82	0.9661	0.441	0.448	85133	0.156	18495	0.286	0.073	"249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
159315	"c__Alphaproteobacteria"	4993	1.035	2.5	0.0197	0.0062	63.62	0.9789	0.64	0.645	171770	0.034	5616	0.074	0.011	"159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
