TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
297870	"p__Atribacterota"	36127	1.209	2.82	0.0926	0.0495	70.12	0.9702	0.358	0.358	1258331	0.173	70722	0.245	0.07	"297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
297872	"o__SB-45"	36118	1.209	2.82	0.0927	0.0495	70.13	0.9702	0.358	0.358	1258075	0.173	70684	0.245	0.07	"297872:o__SB-45:order;297871:c__JS1:class;297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
297871	"c__JS1"	36118	1.209	2.82	0.0927	0.0495	70.13	0.9702	0.358	0.358	1258075	0.173	70684	0.245	0.07	"297871:c__JS1:class;297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
297873	"f__34-128"	35815	1.208	2.82	0.0926	0.0493	70.14	0.9702	0.358	0.358	1249493	0.172	69921	0.245	0.07	"297873:f__34-128:family;297872:o__SB-45:order;297871:c__JS1:class;297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
238248	"p__Desulfobacterota"	35190	1.006	2.17	0.126	0.0653	55.09	0.9727	0.47	0.475	947757	0.006	54699	0.235	0.063	"238248:p__Desulfobacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
343024	"g__34-128"	33635	1.205	2.83	0.0923	0.0494	70.51	0.9702	0.358	0.358	1186348	0.17	63848	0.246	0.071	"343024:g__34-128:genus;297873:f__34-128:family;297872:o__SB-45:order;297871:c__JS1:class;297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
249843	"p__Patescibacteria"	29197	1.077	2.61	0.1325	0.0759	54.76	0.9709	0.398	0.4	725342	0.072	43541	0.266	0.075	"249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
864	"c__Nanoarchaeia"	21562	1.059	3.05	0.1579	0.0891	48.91	0.9701	0.352	0.353	425791	0.056	31554	0.267	0.073	"864:c__Nanoarchaeia:class;863:p__Nanoarchaeota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
863	"p__Nanoarchaeota"	21562	1.059	3.05	0.1579	0.0891	48.91	0.9701	0.352	0.353	425791	0.056	31554	0.267	0.073	"863:p__Nanoarchaeota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
249844	"c__Paceibacteria"	21420	1.089	2.56	0.1413	0.0777	53.43	0.9706	0.405	0.408	500195	0.082	33690	0.275	0.077	"249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
271173	"c__Desulfobacteria"	19015	1.029	2.3	0.1189	0.0614	55.75	0.9728	0.423	0.429	512890	0.028	30665	0.233	0.059	"271173:c__Desulfobacteria:class;238248:p__Desulfobacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
271174	"o__Desulfobacterales"	18845	1.029	2.3	0.1183	0.0614	55.81	0.9728	0.423	0.429	509287	0.028	30343	0.233	0.06	"271174:o__Desulfobacterales:order;271173:c__Desulfobacteria:class;238248:p__Desulfobacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
