TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
14525	"p__Pseudomonadota"	20084	1.069	2.15	0.0562	0.0275	52.84	0.9646	0.593	0.605	466810	0.064	35312	0.18	0.038	"14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
211	"o__Nitrososphaerales"	18790	1.379	2.88	0.1003	0.0638	65.6	0.9631	0.325	0.327	512271	0.275	55708	0.274	0.072	"211:o__Nitrososphaerales:order;210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
210	"c__Nitrososphaeria"	18790	1.379	2.88	0.1003	0.0638	65.6	0.9631	0.325	0.327	512271	0.275	55708	0.274	0.072	"210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
87	"p__Thermoproteota"	18790	1.379	2.88	0.1003	0.0638	65.6	0.9631	0.325	0.327	512271	0.275	55708	0.274	0.072	"87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
212	"f__Nitrosopumilaceae"	18787	1.379	2.88	0.1003	0.0638	65.61	0.9631	0.325	0.327	512271	0.275	55705	0.274	0.072	"212:f__Nitrosopumilaceae:family;211:o__Nitrososphaerales:order;210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
1802	"g__Nitrosarchaeum"	18286	1.383	2.89	0.0991	0.0642	65.99	0.963	0.325	0.327	502137	0.277	55000	0.276	0.073	"1802:g__Nitrosarchaeum:genus;212:f__Nitrosopumilaceae:family;211:o__Nitrososphaerales:order;210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
14526	"c__Gammaproteobacteria"	18271	1.081	2.13	0.0582	0.0285	53.01	0.9642	0.589	0.602	422792	0.075	33220	0.186	0.039	"14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
137197	"o__Burkholderiales"	16086	1.088	2.12	0.0579	0.03	53.2	0.9639	0.59	0.603	372714	0.081	30377	0.189	0.041	"137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
233990	"f__Burkholderiaceae_B"	8177	1.09	2.07	0.0635	0.0324	52.89	0.9634	0.583	0.597	186646	0.083	16279	0.206	0.047	"233990:f__Burkholderiaceae_B:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
260318	"p__Planctomycetota"	5005	1.026	2.05	0.046	0.0292	53.02	0.9652	0.591	0.596	122117	0.025	10078	0.141	0.027	"260318:p__Planctomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
260319	"c__Planctomycetia"	4897	1.022	2.04	0.0464	0.0289	53.24	0.9652	0.591	0.596	120937	0.021	9848	0.143	0.028	"260319:c__Planctomycetia:class;260318:p__Planctomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
287247	"f__Planctomycetaceae"	4758	1.022	2.04	0.048	0.0298	53.48	0.9652	0.591	0.596	118593	0.022	9688	0.144	0.028	"287247:f__Planctomycetaceae:family;287246:o__Planctomycetales:order;260319:c__Planctomycetia:class;260318:p__Planctomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
287246	"o__Planctomycetales"	4758	1.022	2.04	0.048	0.0298	53.48	0.9652	0.591	0.596	118593	0.022	9688	0.144	0.028	"287246:o__Planctomycetales:order;260319:c__Planctomycetia:class;260318:p__Planctomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
307007	"g__Polaromonas"	4668	1.101	2.08	0.0641	0.0339	54.71	0.9633	0.578	0.592	113223	0.092	12135	0.212	0.054	"307007:g__Polaromonas:genus;233990:f__Burkholderiaceae_B:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
173790	"p__Bacteroidota"	4510	1.066	2.92	0.0538	0.0336	50.67	0.9671	0.347	0.348	95887	0.062	7916	0.186	0.036	"173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
249843	"p__Patescibacteria"	4347	1.183	2.12	0.0595	0.0471	50.05	0.9657	0.463	0.474	81033	0.155	16210	0.202	0.039	"249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
173791	"c__Bacteroidia"	4345	1.071	2.95	0.0531	0.0333	50.74	0.9672	0.342	0.343	92258	0.066	7621	0.186	0.036	"173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
334896	"g__SXKJ01"	4340	1.023	2.05	0.0499	0.0308	53.92	0.965	0.593	0.598	109953	0.023	8609	0.146	0.028	"334896:g__SXKJ01:genus;287247:f__Planctomycetaceae:family;287246:o__Planctomycetales:order;260319:c__Planctomycetia:class;260318:p__Planctomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101055	"p__Actinomycetota"	3638	1.025	2.14	0.0537	0.0347	49.87	0.9662	0.617	0.627	77603	0.025	6794	0.139	0.026	"101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
249844	"c__Paceibacteria"	3594	1.214	2.11	0.0554	0.0493	50.62	0.9656	0.468	0.479	66982	0.176	14634	0.203	0.04	"249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
298638	"f__SG8-39"	3410	1.109	2.35	0.0527	0.0242	57.71	0.9636	0.645	0.653	91381	0.098	5983	0.162	0.033	"298638:f__SG8-39:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
190476	"o__Flavobacteriales"	3158	1.085	3.12	0.0564	0.0357	52.81	0.9663	0.323	0.326	72243	0.078	6295	0.199	0.041	"190476:o__Flavobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
190477	"f__Flavobacteriaceae"	3033	1.088	3.13	0.0583	0.0358	53.11	0.9662	0.321	0.324	69975	0.081	6113	0.202	0.042	"190477:f__Flavobacteriaceae:family;190476:o__Flavobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
258297	"o__UBA9983_A"	2872	1.242	2.07	0.0534	0.0497	51.01	0.9655	0.474	0.485	53186	0.195	10892	0.199	0.042	"258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101056	"c__Actinomycetia"	2570	1.019	2.16	0.054	0.0335	50.45	0.9667	0.621	0.632	56627	0.019	4229	0.14	0.026	"101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
371609	"g__Lutibacter"	2332	1.082	3.22	0.058	0.0357	54.53	0.9663	0.317	0.321	57202	0.075	5375	0.211	0.045	"371609:g__Lutibacter:genus;190477:f__Flavobacteriaceae:family;190476:o__Flavobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
353381	"g__RBG-16-66-20"	2080	1.107	2.4	0.0626	0.0212	59.46	0.9633	0.65	0.657	59102	0.097	2964	0.168	0.037	"353381:g__RBG-16-66-20:genus;298638:f__SG8-39:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
228072	"f__Gallionellaceae"	2003	1.068	1.96	0.0413	0.0371	50.27	0.9645	0.533	0.54	41760	0.064	5095	0.184	0.037	"228072:f__Gallionellaceae:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
159315	"c__Alphaproteobacteria"	1805	1.022	2.33	0.0363	0.0175	51.12	0.9687	0.632	0.643	40822	0.022	2083	0.124	0.023	"159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
171647	"o__Actinomycetales"	1686	1.029	2.13	0.0551	0.0333	51.95	0.9665	0.644	0.653	39229	0.029	2122	0.139	0.03	"171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
2756	"GB_GCA_003569705.1"	1389	1.127	2.98	0.0993	0.0588	67.64	0.9613	0.322	0.323	48873	0.112	1408	0.284	0.08	"2756:GB_GCA_003569705.1:subspecies;2753:s__Nitrosarchaeum sp003569705:species;1802:g__Nitrosarchaeum:genus;212:f__Nitrosopumilaceae:family;211:o__Nitrososphaerales:order;210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
2753	"s__Nitrosarchaeum sp003569705"	1389	1.127	2.98	0.0993	0.0588	67.64	0.9613	0.322	0.323	48873	0.112	1408	0.284	0.08	"2753:s__Nitrosarchaeum sp003569705:species;1802:g__Nitrosarchaeum:genus;212:f__Nitrosopumilaceae:family;211:o__Nitrososphaerales:order;210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
247200	"g__Rhodoferax"	1268	1.091	1.98	0.064	0.0436	51.14	0.9639	0.564	0.574	26905	0.083	1749	0.187	0.035	"247200:g__Rhodoferax:genus;233990:f__Burkholderiaceae_B:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
243063	"f__Dermatophilaceae"	1264	1.04	2.13	0.0509	0.0337	52.2	0.9655	0.649	0.657	29400	0.039	1628	0.137	0.034	"243063:f__Dermatophilaceae:family;171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
375670	"g__UBA4719"	1112	1.037	2.1	0.0559	0.034	52.55	0.9658	0.649	0.655	26336	0.035	1451	0.137	0.034	"375670:g__UBA4719:genus;243063:f__Dermatophilaceae:family;171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
300479	"f__UBA2103"	949	1.294	1.86	0.0605	0.0343	52.77	0.9643	0.533	0.541	18173	0.227	3317	0.228	0.053	"300479:f__UBA2103:family;258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
300480	"g__C7867-001"	934	1.297	1.86	0.056	0.035	52.79	0.9643	0.533	0.541	17845	0.229	3227	0.229	0.053	"300480:g__C7867-001:genus;300479:f__UBA2103:family;258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
8743	"GB_GCA_016234975.1"	848	1.118	2.89	0.1198	0.0486	67.68	0.9615	0.321	0.325	30093	0.106	848	0.315	0.081	"8743:GB_GCA_016234975.1:subspecies;8742:s__Nitrosarchaeum sp016234975:species;1802:g__Nitrosarchaeum:genus;212:f__Nitrosopumilaceae:family;211:o__Nitrososphaerales:order;210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
8742	"s__Nitrosarchaeum sp016234975"	848	1.118	2.89	0.1198	0.0486	67.68	0.9615	0.321	0.325	30093	0.106	848	0.315	0.081	"8742:s__Nitrosarchaeum sp016234975:species;1802:g__Nitrosarchaeum:genus;212:f__Nitrosopumilaceae:family;211:o__Nitrososphaerales:order;210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
252024	"p__Chloroflexota"	740	1.012	2.15	0.0475	0.0295	45.52	0.9659	0.625	0.634	12810	0.012	1317	0.145	0.023	"252024:p__Chloroflexota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
261644	"f__SG8-41"	683	1.094	2.12	0.0597	0.0217	55.38	0.9649	0.6	0.608	17103	0.086	740	0.179	0.041	"261644:f__SG8-41:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
245798	"c__Acidimicrobiia"	671	1.09	1.93	0.0571	0.055	47.1	0.9643	0.577	0.581	11759	0.082	1593	0.158	0.023	"245798:c__Acidimicrobiia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
108193	"o__Pseudomonadales"	665	1.132	2.17	0.0663	0.0232	54.29	0.9683	0.564	0.575	15445	0.117	935	0.15	0.025	"108193:o__Pseudomonadales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
246208	"o__Acidimicrobiales"	651	1.094	1.92	0.0549	0.0575	47.16	0.9644	0.576	0.58	11396	0.086	1557	0.155	0.022	"246208:o__Acidimicrobiales:order;245798:c__Acidimicrobiia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
258298	"f__UBA9973"	626	1.085	2.6	0.0432	0.0457	48.95	0.9657	0.391	0.403	12082	0.079	1507	0.162	0.025	"258298:f__UBA9973:family;258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
253065	"g__Nitrotoga"	611	1.045	1.93	0.0564	0.0479	54.85	0.9638	0.516	0.519	15699	0.043	1458	0.205	0.052	"253065:g__Nitrotoga:genus;228072:f__Gallionellaceae:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
161314	"o__Rhizobiales"	595	1.008	2.28	0.0324	0.0117	51.18	0.9681	0.632	0.643	13677	0.008	657	0.113	0.02	"161314:o__Rhizobiales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
10931	"GB_GCA_021414105.1"	587	1.11	2.91	0.1057	0.0783	68.7	0.9602	0.325	0.326	21528	0.099	587	0.273	0.089	"10931:GB_GCA_021414105.1:subspecies;10930:s__Nitrosarchaeum sp021414105:species;1802:g__Nitrosarchaeum:genus;212:f__Nitrosopumilaceae:family;211:o__Nitrososphaerales:order;210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
10930	"s__Nitrosarchaeum sp021414105"	587	1.11	2.91	0.1057	0.0783	68.7	0.9602	0.325	0.326	21528	0.099	587	0.273	0.089	"10930:s__Nitrosarchaeum sp021414105:species;1802:g__Nitrosarchaeum:genus;212:f__Nitrosopumilaceae:family;211:o__Nitrososphaerales:order;210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
2429	"GB_GCA_004297665.1"	551	1.087	2.93	0.1504	0.0565	67.45	0.9601	0.323	0.322	20002	0.08	560	0.258	0.071	"2429:GB_GCA_004297665.1:subspecies;2428:s__Nitrosarchaeum sp004297665:species;1802:g__Nitrosarchaeum:genus;212:f__Nitrosopumilaceae:family;211:o__Nitrososphaerales:order;210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
2428	"s__Nitrosarchaeum sp004297665"	551	1.087	2.93	0.1504	0.0565	67.45	0.9601	0.323	0.322	20002	0.08	560	0.258	0.071	"2428:s__Nitrosarchaeum sp004297665:species;1802:g__Nitrosarchaeum:genus;212:f__Nitrosopumilaceae:family;211:o__Nitrososphaerales:order;210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
265075	"f__Ilumatobacteraceae"	538	1.095	1.9	0.055	0.067	47.49	0.9643	0.563	0.566	9580	0.086	1427	0.161	0.019	"265075:f__Ilumatobacteraceae:family;246208:o__Acidimicrobiales:order;245798:c__Acidimicrobiia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
8935	"GB_GCA_013140415.1"	536	1.099	2.97	0.0849	0.0984	71.45	0.9595	0.328	0.328	21185	0.09	539	0.276	0.076	"8935:GB_GCA_013140415.1:subspecies;8934:s__Nitrosarchaeum sp013140415:species;1802:g__Nitrosarchaeum:genus;212:f__Nitrosopumilaceae:family;211:o__Nitrososphaerales:order;210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
8934	"s__Nitrosarchaeum sp013140415"	536	1.099	2.97	0.0849	0.0984	71.45	0.9595	0.328	0.328	21185	0.09	539	0.276	0.076	"8934:s__Nitrosarchaeum sp013140415:species;1802:g__Nitrosarchaeum:genus;212:f__Nitrosopumilaceae:family;211:o__Nitrososphaerales:order;210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
9441	"GB_GCA_023264875.1"	533	1.099	2.86	0.1504	0.0427	68.77	0.9592	0.328	0.328	19766	0.09	533	0.298	0.098	"9441:GB_GCA_023264875.1:subspecies;9440:s__Nitrosarchaeum sp023264875:species;1802:g__Nitrosarchaeum:genus;212:f__Nitrosopumilaceae:family;211:o__Nitrososphaerales:order;210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
9440	"s__Nitrosarchaeum sp023264875"	533	1.099	2.86	0.1504	0.0427	68.77	0.9592	0.328	0.328	19766	0.09	533	0.298	0.098	"9440:s__Nitrosarchaeum sp023264875:species;1802:g__Nitrosarchaeum:genus;212:f__Nitrosopumilaceae:family;211:o__Nitrososphaerales:order;210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
257280	"o__Chitinophagales"	504	1.016	2.42	0.0175	0.0315	44.15	0.971	0.395	0.399	8006	0.016	550	0.14	0.022	"257280:o__Chitinophagales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
