TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
101055	"p__Actinomycetota"	1124	1.019	2.38	0.005	0.0046	59.0	0.9847	0.64	0.644	34207	0.018	1449	0.058	0.012	"101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101056	"c__Actinomycetia"	1105	1.02	2.38	0.0051	0.0047	59.25	0.9849	0.64	0.644	33870	0.019	1160	0.059	0.012	"101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14525	"p__Pseudomonadota"	737	1.018	2.32	0.0039	0.0	53.16	0.9815	0.602	0.614	18213	0.018	813	0.075	0.007	"14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
171647	"o__Actinomycetales"	492	1.019	2.6	0.0	0.0052	60.03	0.9863	0.67	0.675	15462	0.019	509	0.048	0.012	"171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101057	"o__Mycobacteriales"	443	1.004	2.12	0.0066	0.0061	58.95	0.9829	0.609	0.609	13656	0.004	478	0.07	0.014	"101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
63358	"c__Bacilli"	423	1.016	2.25	0.0091	0.0	51.25	0.9834	0.407	0.409	9679	0.016	562	0.074	0.007	"63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
63357	"p__Bacillota"	423	1.016	2.25	0.0091	0.0	51.25	0.9834	0.407	0.409	9679	0.016	562	0.074	0.007	"63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14526	"c__Gammaproteobacteria"	414	1.005	2.26	0.0077	0.0	52.02	0.9846	0.565	0.579	9899	0.005	463	0.073	0.005	"14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101058	"f__Mycobacteriaceae"	405	1.005	2.07	0.0072	0.0067	59.99	0.9836	0.602	0.603	12890	0.005	414	0.069	0.015	"101058:f__Mycobacteriaceae:family;101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
175271	"g__Corynebacterium"	373	1.009	2.02	0.008	0.0072	60.77	0.9842	0.596	0.597	12112	0.009	382	0.067	0.013	"175271:g__Corynebacterium:genus;101058:f__Mycobacteriaceae:family;101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
