CDSqueryname	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	MappedReadstoCDS	CDSLength	ParentContig	MappedReadstoParentContig	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers
contig-100_0_2	1265845.PWEIH_00500	1.17e-40	150.0	28MC2@1|root,2ZAQD@2|Bacteria,1VSEU@1239|Firmicutes,4HT1S@91061|Bacilli	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	305	939	"contig-100_0"	7043	3.83	1.99	0.3394	0.2223	79.46	0.978	0.505	0.517	94746	0.739
contig-100_0_15	526222.Desal_0620	1.99e-25	110.0	COG0489@1|root,COG1433@1|root,COG0489@2|Bacteria,COG1433@2|Bacteria,1MU7R@1224|Proteobacteria,42NR0@68525|delta/epsilon subdivisions,2WIPG@28221|Deltaproteobacteria,2M7XI@213115|Desulfovibrionales	28221|Deltaproteobacteria	D	Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP	-	-	-	ko:K03593	-	-	-	-	ko00000,ko03029,ko03036	-	-	-	Nitro_FeMo-Co,ParA	219	741	"contig-100_0"	7043	3.83	1.99	0.3394	0.2223	79.46	0.978	0.505	0.517	94746	0.739
contig-100_0_19	867903.ThesuDRAFT_02222	7.22e-85	289.0	COG3378@1|root,COG5519@1|root,COG3378@2|Bacteria,COG5519@2|Bacteria,1TQP9@1239|Firmicutes,24AY6@186801|Clostridia	186801|Clostridia	L	Phage plasmid primase, P4 family	-	-	-	ko:K06919	-	-	-	-	ko00000	-	-	-	D5_N,Pox_D5,PriCT_1,Prim-Pol	552	1719	"contig-100_0"	7043	3.83	1.99	0.3394	0.2223	79.46	0.978	0.505	0.517	94746	0.739
contig-100_0_20	1430440.MGMSRv2_3424	1.2e-23	108.0	29TUE@1|root,30F2T@2|Bacteria,1NV09@1224|Proteobacteria	1224|Proteobacteria	S	Protein of unknown function DUF115	-	-	-	-	-	-	-	-	-	-	-	-	MAF_flag10	357	1290	"contig-100_0"	7043	3.83	1.99	0.3394	0.2223	79.46	0.978	0.505	0.517	94746	0.739
contig-100_0_21	99598.Cal7507_2570	2.12e-48	175.0	COG0399@1|root,COG0399@2|Bacteria,1G0IM@1117|Cyanobacteria,1HJVD@1161|Nostocales	1117|Cyanobacteria	E	Belongs to the DegT DnrJ EryC1 family	degT	-	-	-	-	-	-	-	-	-	-	-	DegT_DnrJ_EryC1	342	1149	"contig-100_0"	7043	3.83	1.99	0.3394	0.2223	79.46	0.978	0.505	0.517	94746	0.739
contig-100_0_22	87626.PTD2_12084	1.01e-07	60.1	COG2089@1|root,COG2089@2|Bacteria,1MWG3@1224|Proteobacteria,1RPIG@1236|Gammaproteobacteria,2Q18G@267888|Pseudoalteromonadaceae	1236|Gammaproteobacteria	M	NeuB family	neuB	GO:0003674,GO:0003824,GO:0005975,GO:0008150,GO:0008152,GO:0009058,GO:0016051,GO:0016740,GO:0016765,GO:0044238,GO:0071704,GO:1901576	2.5.1.101,2.5.1.56	ko:K01654,ko:K18430	ko00520,ko01100,map00520,map01100	-	R01804,R04435,R10304	RC00159	ko00000,ko00001,ko01000	-	-	-	NeuB,SAF	236	732	"contig-100_0"	7043	3.83	1.99	0.3394	0.2223	79.46	0.978	0.505	0.517	94746	0.739
contig-100_0_23	536227.CcarbDRAFT_0694	1.33e-34	134.0	COG1086@1|root,COG1086@2|Bacteria,1TPTC@1239|Firmicutes,247YC@186801|Clostridia,36VQ0@31979|Clostridiaceae	186801|Clostridia	M	biosynthesis protein	pseB	-	4.2.1.115	ko:K15894	ko00520,map00520	-	R09697	RC02609	ko00000,ko00001,ko01000	-	-	-	Polysacc_synt_2	260	819	"contig-100_0"	7043	3.83	1.99	0.3394	0.2223	79.46	0.978	0.505	0.517	94746	0.739
contig-100_0_25	272942.RCAP_rcc02964	6.23e-18	91.3	COG0381@1|root,COG0381@2|Bacteria,1MWZN@1224|Proteobacteria,2TU42@28211|Alphaproteobacteria	28211|Alphaproteobacteria	M	UDP-N-acetylglucosamine 2-epimerase	-	-	3.2.1.183,5.1.3.14	ko:K01791,ko:K08068	ko00520,ko01100,ko05111,map00520,map01100,map05111	M00362	R00420	RC00290	ko00000,ko00001,ko00002,ko01000,ko01005	-	-	-	Epimerase_2	311	945	"contig-100_0"	7043	3.83	1.99	0.3394	0.2223	79.46	0.978	0.505	0.517	94746	0.739
contig-100_0_26	710685.MycrhN_0303	1.51e-06	52.8	COG0110@1|root,COG0110@2|Bacteria	2|Bacteria	S	O-acyltransferase activity	-	-	2.3.1.209,2.3.1.79	ko:K00661,ko:K21379	-	-	-	-	ko00000,ko01000	-	-	-	Hexapep,Hexapep_2	89	405	"contig-100_0"	7043	3.83	1.99	0.3394	0.2223	79.46	0.978	0.505	0.517	94746	0.739
contig-100_1_2	1041930.Mtc_2352	4.05e-130	382.0	COG0675@1|root,arCOG00680@2157|Archaea,2Y8F7@28890|Euryarchaeota,2N9XK@224756|Methanomicrobia	224756|Methanomicrobia	L	Putative transposase DNA-binding domain	-	-	-	ko:K07496	-	-	-	-	ko00000	-	-	-	OrfB_Zn_ribbon	198	1020	"contig-100_1"	5994	3.85	2.01	0.3369	0.2216	80.05	0.9799	0.505	0.518	81002	0.74
contig-100_1_5	1380355.JNIJ01000009_gene1635	1.41e-63	223.0	COG1389@1|root,COG1389@2|Bacteria	2|Bacteria	L	DNA topoisomerase II activity	top6B	-	5.99.1.3	ko:K03167	-	-	-	-	ko00000,ko01000,ko03032	-	-	-	HATPase_c,HATPase_c_3,Topo-VIb_trans	388	1125	"contig-100_1"	5994	3.85	2.01	0.3369	0.2216	80.05	0.9799	0.505	0.518	81002	0.74
contig-100_1_7	565033.GACE_2248	1.27e-12	73.6	COG0592@1|root,arCOG00488@2157|Archaea,2XT8B@28890|Euryarchaeota,245X2@183980|Archaeoglobi	183980|Archaeoglobi	L	Sliding clamp subunit that acts as a moving platform for DNA processing. Responsible for tethering the catalytic subunit of DNA polymerase and other proteins to DNA during high-speed replication	pcn	-	-	ko:K04802	ko03030,ko03410,ko03420,ko03430,ko04110,ko04530,ko05161,ko05166,map03030,map03410,map03420,map03430,map04110,map04530,map05161,map05166	M00295	-	-	ko00000,ko00001,ko00002,ko03032,ko03400	-	-	-	PCNA_C,PCNA_N	216	795	"contig-100_1"	5994	3.85	2.01	0.3369	0.2216	80.05	0.9799	0.505	0.518	81002	0.74
contig-100_1_12	453591.Igni_1168	4.72e-14	79.7	COG0142@1|root,arCOG01726@2157|Archaea,2XPZM@28889|Crenarchaeota	28889|Crenarchaeota	H	Belongs to the FPP GGPP synthase family	fgs	-	2.5.1.1,2.5.1.10,2.5.1.29	ko:K13787	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00364,M00365	R01658,R02003,R02061	RC00279	ko00000,ko00001,ko00002,ko01000,ko01006	-	-	-	polyprenyl_synt	233	954	"contig-100_1"	5994	3.85	2.01	0.3369	0.2216	80.05	0.9799	0.505	0.518	81002	0.74
contig-100_1_13	263820.PTO1193	7.31e-14	79.3	COG0644@1|root,arCOG00570@2157|Archaea,2XUCU@28890|Euryarchaeota,2421U@183967|Thermoplasmata	183967|Thermoplasmata	C	Is involved in the reduction of 2,3- digeranylgeranylglycerophospholipids (unsaturated archaeols) into 2,3-diphytanylglycerophospholipids (saturated archaeols) in the biosynthesis of archaeal membrane lipids. Catalyzes the formation of archaetidic acid (2,3-di-O-phytanyl-sn-glyceryl phosphate) from 2,3-di-O-geranylgeranylglyceryl phosphate (DGGGP) via the hydrogenation of each double bond of the isoprenoid chains	-	-	-	-	-	-	-	-	-	-	-	-	-	322	1014	"contig-100_1"	5994	3.85	2.01	0.3369	0.2216	80.05	0.9799	0.505	0.518	81002	0.74
contig-100_1_14	1459636.NTE_02280	2.06e-16	82.8	COG1575@1|root,arCOG00480@2157|Archaea,41SNA@651137|Thaumarchaeota	651137|Thaumarchaeota	H	Belongs to the MenA family. Type 1 subfamily	-	-	-	-	-	-	-	-	-	-	-	-	-	193	675	"contig-100_1"	5994	3.85	2.01	0.3369	0.2216	80.05	0.9799	0.505	0.518	81002	0.74
contig-100_1_16	1289597.M1PFG7_9CAUD	7.26e-05	47.8	4QAKE@10239|Viruses,4QUP7@35237|dsDNA viruses  no RNA stage,4QPCE@28883|Caudovirales	28883|Caudovirales	S	endonuclease activity	-	-	-	-	-	-	-	-	-	-	-	-	-	146	474	"contig-100_1"	5994	3.85	2.01	0.3369	0.2216	80.05	0.9799	0.505	0.518	81002	0.74
contig-100_2_1	1235800.C819_00502	1.21e-41	149.0	COG4422@1|root,COG4422@2|Bacteria,1TPRY@1239|Firmicutes,247VT@186801|Clostridia,27KBH@186928|unclassified Lachnospiraceae	186801|Clostridia	S	Protein of unknown function (DUF5131)	-	-	-	-	-	-	-	-	-	-	-	-	DUF5131	357	675	"contig-100_2"	9863	3.39	2.21	0.3845	0.2274	69.36	0.9757	0.431	0.444	120432	0.705
contig-100_2_5	10717.Q9ZXC4_BPPH1	1.14e-113	370.0	4QAY9@10239|Viruses,4QV7W@35237|dsDNA viruses  no RNA stage,4QPAN@28883|Caudovirales,4QKV1@10699|Siphoviridae	10699|Siphoviridae	S	hydrolase activity	-	-	-	-	-	-	-	-	-	-	-	-	-	1562	2337	"contig-100_2"	9863	3.39	2.21	0.3845	0.2274	69.36	0.9757	0.431	0.444	120432	0.705
contig-100_2_6	755178.Cyan10605_2313	0.000437	45.8	COG1403@1|root,COG1403@2|Bacteria,1G7VH@1117|Cyanobacteria	1117|Cyanobacteria	L	PFAM HNH endonuclease	-	-	-	ko:K07451	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	HNH,HNH_5	341	678	"contig-100_2"	9863	3.39	2.21	0.3845	0.2274	69.36	0.9757	0.431	0.444	120432	0.705
contig-100_2_11	755731.Clo1100_1143	5.2e-59	194.0	COG0270@1|root,COG0270@2|Bacteria,1TPNE@1239|Firmicutes,24B1A@186801|Clostridia,36JFQ@31979|Clostridiaceae	186801|Clostridia	H	Belongs to the class I-like SAM-binding methyltransferase superfamily. C5-methyltransferase family	-	-	2.1.1.37	ko:K00558	ko00270,ko01100,ko05206,map00270,map01100,map05206	M00035	R04858	RC00003,RC00332	ko00000,ko00001,ko00002,ko01000,ko02048,ko03032,ko03036	-	-	-	DNA_methylase	512	663	"contig-100_2"	9863	3.39	2.21	0.3845	0.2274	69.36	0.9757	0.431	0.444	120432	0.705
contig-100_2_12	742738.HMPREF9460_04053	6.15e-12	65.5	COG0270@1|root,COG0270@2|Bacteria,1TPNE@1239|Firmicutes,24B1A@186801|Clostridia,26A94@186813|unclassified Clostridiales	186801|Clostridia	L	C-5 cytosine-specific DNA methylase	-	-	2.1.1.37	ko:K00558	ko00270,ko01100,ko05206,map00270,map01100,map05206	M00035	R04858	RC00003,RC00332	ko00000,ko00001,ko00002,ko01000,ko02048,ko03032,ko03036	-	-	-	DNA_methylase	97	171	"contig-100_2"	9863	3.39	2.21	0.3845	0.2274	69.36	0.9757	0.431	0.444	120432	0.705
contig-100_2_14	86416.Clopa_3150	9.63e-52	178.0	COG1032@1|root,COG1032@2|Bacteria,1TRY3@1239|Firmicutes,249Q1@186801|Clostridia,36HCS@31979|Clostridiaceae	186801|Clostridia	C	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	-	399	888	"contig-100_2"	9863	3.39	2.21	0.3845	0.2274	69.36	0.9757	0.431	0.444	120432	0.705
contig-100_3_5	641107.CDLVIII_1872	4.5e-48	157.0	arCOG03093@1|root,32288@2|Bacteria,1VDGX@1239|Firmicutes,24Q8E@186801|Clostridia	186801|Clostridia	S	Gas vesicles are small, hollow, gas filled protein structures that are found in several microbial planktonic microorganisms. They allow the positioning of the organism at the favorable depth for growth	-	-	-	-	-	-	-	-	-	-	-	-	Gas_vesicle	58	354	"contig-100_3"	2951	2.92	2.14	0.3176	0.1673	72.33	0.9792	0.483	0.494	44756	0.658
contig-100_3_9	519442.Huta_2461	2.13e-31	133.0	COG0003@1|root,arCOG02849@2157|Archaea,2XT6V@28890|Euryarchaeota,23TEX@183963|Halobacteria	183963|Halobacteria	D	Arsenite-activated ATPase ArsA	arsA1	-	3.6.3.16	ko:K01551	-	-	-	-	ko00000,ko01000,ko02000	3.A.19.1,3.A.21.1,3.A.4.1	-	-	ArsA_ATPase	394	2043	"contig-100_3"	2951	2.92	2.14	0.3176	0.1673	72.33	0.9792	0.483	0.494	44756	0.658
contig-100_3_11	575540.Isop_0761	1.69e-14	71.6	COG0484@1|root,COG0484@2|Bacteria,2J4D3@203682|Planctomycetes	203682|Planctomycetes	O	heat shock protein binding	-	-	-	-	-	-	-	-	-	-	-	-	-	44	300	"contig-100_3"	2951	2.92	2.14	0.3176	0.1673	72.33	0.9792	0.483	0.494	44756	0.658
contig-100_3_15	247490.KSU1_B0152	2.49e-06	50.1	COG0484@1|root,COG0484@2|Bacteria,2J4D3@203682|Planctomycetes	203682|Planctomycetes	O	heat shock protein binding	-	-	-	-	-	-	-	-	-	-	-	-	-	64	372	"contig-100_3"	2951	2.92	2.14	0.3176	0.1673	72.33	0.9792	0.483	0.494	44756	0.658
contig-100_3_16	880072.Desac_1788	5.42e-16	75.9	COG0484@1|root,COG0484@2|Bacteria	2|Bacteria	O	heat shock protein binding	-	-	-	ko:K03686,ko:K04082,ko:K05516	-	-	-	-	ko00000,ko03029,ko03036,ko03110	-	-	-	Cytochrom_CIII,Cytochrom_c3_2,DnaJ_C,DnaJ_CXXCXGXG	85	399	"contig-100_3"	2951	2.92	2.14	0.3176	0.1673	72.33	0.9792	0.483	0.494	44756	0.658
contig-100_3_17	1283300.ATXB01000001_gene2481	4.18e-15	77.0	COG0071@1|root,COG0071@2|Bacteria,1RI2P@1224|Proteobacteria,1SBVA@1236|Gammaproteobacteria	1236|Gammaproteobacteria	O	Belongs to the small heat shock protein (HSP20) family	-	-	-	ko:K13993	ko04141,map04141	-	-	-	ko00000,ko00001,ko03110	-	-	-	HSP20	113	573	"contig-100_3"	2951	2.92	2.14	0.3176	0.1673	72.33	0.9792	0.483	0.494	44756	0.658
contig-100_3_18	477974.Daud_1487	3.85e-44	145.0	2DIH1@1|root,3039C@2|Bacteria,1VFCI@1239|Firmicutes,24T10@186801|Clostridia	186801|Clostridia	S	Gas vesicle protein K	-	-	-	-	-	-	-	-	-	-	-	-	GvpK	58	321	"contig-100_3"	2951	2.92	2.14	0.3176	0.1673	72.33	0.9792	0.483	0.494	44756	0.658
contig-100_3_19	641107.CDLVIII_1875	7.12e-77	246.0	COG2058@1|root,32TCW@2|Bacteria,1VAJH@1239|Firmicutes,24PZZ@186801|Clostridia	186801|Clostridia	J	PFAM Gas vesicle	-	-	-	-	-	-	-	-	-	-	-	-	GvpL_GvpF	138	828	"contig-100_3"	2951	2.92	2.14	0.3176	0.1673	72.33	0.9792	0.483	0.494	44756	0.658
contig-100_3_20	641107.CDLVIII_1877	1.74e-86	273.0	arCOG03093@1|root,32ZVC@2|Bacteria,1VPEG@1239|Firmicutes,24R1G@186801|Clostridia	186801|Clostridia	S	Gas vesicles are small, hollow, gas filled protein structures that are found in several microbial planktonic microorganisms. They allow the positioning of the organism at the favorable depth for growth	-	-	-	-	-	-	-	-	-	-	-	-	Gas_vesicle	138	1107	"contig-100_3"	2951	2.92	2.14	0.3176	0.1673	72.33	0.9792	0.483	0.494	44756	0.658
