CDSqueryname	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	MappedReadstoCDS	CDSLength	ParentContig	MappedReadstoParentContig	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers
contig-100_0_1	1048339.KB913029_gene1820	3.45e-56	210.0	COG0507@1|root,COG0507@2|Bacteria,2GJRK@201174|Actinobacteria,4EVG9@85013|Frankiales	201174|Actinobacteria	L	TrwC relaxase	-	-	-	-	-	-	-	-	-	-	-	-	AAA_30,TrwC	195	1530	"contig-100_0"	3471	2.36	2.53	0.0862	0.0398	80.9	0.9814	0.655	0.671	77907	0.576
contig-100_0_4	882083.SacmaDRAFT_5702	6.44e-11	67.4	COG2442@1|root,COG2442@2|Bacteria,2IJ8Q@201174|Actinobacteria,4E9R6@85010|Pseudonocardiales	201174|Actinobacteria	S	Protein of unknown function (DUF433)	-	-	-	-	-	-	-	-	-	-	-	-	DUF433,MerR_1	109	693	"contig-100_0"	3471	2.36	2.53	0.0862	0.0398	80.9	0.9814	0.655	0.671	77907	0.576
contig-100_0_6	469383.Cwoe_5581	2.32e-193	553.0	COG4191@1|root,COG4191@2|Bacteria,2GKD1@201174|Actinobacteria,4CS7I@84995|Rubrobacteria	84995|Rubrobacteria	T	T5orf172	-	-	-	-	-	-	-	-	-	-	-	-	DUF4041,T5orf172	218	1449	"contig-100_0"	3471	2.36	2.53	0.0862	0.0398	80.9	0.9814	0.655	0.671	77907	0.576
contig-100_0_7	1380390.JIAT01000012_gene3297	2.23e-161	464.0	COG1715@1|root,COG1715@2|Bacteria,2HPMU@201174|Actinobacteria,4CQZY@84995|Rubrobacteria	84995|Rubrobacteria	V	Restriction endonuclease	-	-	-	ko:K07448	-	-	-	-	ko00000,ko02048	-	-	-	-	200	1266	"contig-100_0"	3471	2.36	2.53	0.0862	0.0398	80.9	0.9814	0.655	0.671	77907	0.576
contig-100_0_8	1117943.SFHH103_03052	3.43e-25	113.0	COG0582@1|root,COG0582@2|Bacteria,1RBMJ@1224|Proteobacteria,2U0ET@28211|Alphaproteobacteria,4BCUG@82115|Rhizobiaceae	28211|Alphaproteobacteria	L	Belongs to the 'phage' integrase family	-	-	-	-	-	-	-	-	-	-	-	-	Phage_int_SAM_3,Phage_integrase	190	1143	"contig-100_0"	3471	2.36	2.53	0.0862	0.0398	80.9	0.9814	0.655	0.671	77907	0.576
contig-100_0_10	1380390.JIAT01000010_gene4387	1.08e-245	721.0	COG0507@1|root,COG0507@2|Bacteria,2GJRK@201174|Actinobacteria,4CTKF@84995|Rubrobacteria	84995|Rubrobacteria	L	TrwC relaxase	-	-	-	-	-	-	-	-	-	-	-	-	AAA_30,TrwC	389	2739	"contig-100_0"	3471	2.36	2.53	0.0862	0.0398	80.9	0.9814	0.655	0.671	77907	0.576
contig-100_0_12	1298864.AUEQ01000001_gene4833	0.000546	46.6	2A1T7@1|root,30Q20@2|Bacteria,2HCN5@201174|Actinobacteria	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	83	576	"contig-100_0"	3471	2.36	2.53	0.0862	0.0398	80.9	0.9814	0.655	0.671	77907	0.576
contig-100_0_14	1341646.CBMO010000126_gene2778	7.9e-55	192.0	2CNC8@1|root,32SGS@2|Bacteria,2ID8V@201174|Actinobacteria,23DJD@1762|Mycobacteriaceae	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	185	1191	"contig-100_0"	3471	2.36	2.53	0.0862	0.0398	80.9	0.9814	0.655	0.671	77907	0.576
contig-100_0_15	909613.UO65_4723	3.37e-150	448.0	COG0827@1|root,COG0827@2|Bacteria,2I3BZ@201174|Actinobacteria,4EDPB@85010|Pseudonocardiales	201174|Actinobacteria	L	DNA restriction-modification system	-	-	-	-	-	-	-	-	-	-	-	-	-	244	1686	"contig-100_0"	3471	2.36	2.53	0.0862	0.0398	80.9	0.9814	0.655	0.671	77907	0.576
contig-100_0_16	553207.HMPREF0299_5513	1.97e-87	274.0	28MDY@1|root,30ACE@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	166	1047	"contig-100_0"	3471	2.36	2.53	0.0862	0.0398	80.9	0.9814	0.655	0.671	77907	0.576
contig-100_1_1	401053.AciPR4_4273	8.43e-05	53.9	COG2244@1|root,COG2244@2|Bacteria,3Y7TW@57723|Acidobacteria,2JN3I@204432|Acidobacteriia	204432|Acidobacteriia	S	Polysaccharide biosynthesis C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	Polysacc_synt_C	216	1497	"contig-100_1"	3137	2.23	3.07	0.0905	0.0213	81.25	0.9809	0.701	0.719	75071	0.551
contig-100_1_2	871963.Desdi_1492	1.87e-28	120.0	COG1215@1|root,COG1216@1|root,COG2227@1|root,COG1215@2|Bacteria,COG1216@2|Bacteria,COG2227@2|Bacteria,1TQU0@1239|Firmicutes,248HP@186801|Clostridia,262HE@186807|Peptococcaceae	186801|Clostridia	M	glycosyl transferase family 2	-	-	-	ko:K20444	-	-	-	-	ko00000,ko01000,ko01005,ko02000	4.D.1.3	GT2,GT4	-	Glyco_trans_2_3,Glycos_transf_2	84	699	"contig-100_1"	3137	2.23	3.07	0.0905	0.0213	81.25	0.9809	0.701	0.719	75071	0.551
contig-100_1_3	479434.Sthe_1578	7.19e-46	166.0	COG1216@1|root,COG1216@2|Bacteria,2G7S5@200795|Chloroflexi	200795|Chloroflexi	M	PFAM Glycosyl transferase family 2	-	-	-	-	-	-	-	-	-	-	-	-	Glycos_transf_2	140	993	"contig-100_1"	3137	2.23	3.07	0.0905	0.0213	81.25	0.9809	0.701	0.719	75071	0.551
contig-100_1_4	469383.Cwoe_5490	3.94e-177	505.0	COG0438@1|root,COG0438@2|Bacteria,2HPKT@201174|Actinobacteria,4CQYC@84995|Rubrobacteria	84995|Rubrobacteria	M	Glycosyl transferase 4-like domain	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_transf_4,Glycos_transf_1	145	1155	"contig-100_1"	3137	2.23	3.07	0.0905	0.0213	81.25	0.9809	0.701	0.719	75071	0.551
contig-100_1_5	469383.Cwoe_5487	3.18e-198	559.0	COG0463@1|root,COG0463@2|Bacteria,2I2GR@201174|Actinobacteria,4CQEY@84995|Rubrobacteria	84995|Rubrobacteria	M	Glycosyl transferase family 2	-	-	-	-	-	-	-	-	-	-	-	-	Glycos_transf_2	177	1212	"contig-100_1"	3137	2.23	3.07	0.0905	0.0213	81.25	0.9809	0.701	0.719	75071	0.551
contig-100_1_7	1380390.JIAT01000017_gene5283	4.67e-26	102.0	COG2165@1|root,COG2165@2|Bacteria,2GTN8@201174|Actinobacteria,4CQSF@84995|Rubrobacteria	84995|Rubrobacteria	NU	Prokaryotic N-terminal methylation motif	-	-	-	-	-	-	-	-	-	-	-	-	N_methyl	54	438	"contig-100_1"	3137	2.23	3.07	0.0905	0.0213	81.25	0.9809	0.701	0.719	75071	0.551
contig-100_1_8	391008.Smal_1379	0.000746	48.5	COG4967@1|root,COG4967@2|Bacteria,1QCKQ@1224|Proteobacteria,1T8BM@1236|Gammaproteobacteria,1XADT@135614|Xanthomonadales	135614|Xanthomonadales	NU	Prokaryotic N-terminal methylation motif	-	-	-	ko:K02671	-	-	-	-	ko00000,ko02035,ko02044	-	-	-	N_methyl	211	1500	"contig-100_1"	3137	2.23	3.07	0.0905	0.0213	81.25	0.9809	0.701	0.719	75071	0.551
contig-100_1_11	1380390.JIAT01000017_gene5280	2.27e-108	327.0	COG4972@1|root,COG4972@2|Bacteria,2IBNF@201174|Actinobacteria,4CQH2@84995|Rubrobacteria	84995|Rubrobacteria	NU	Type IV pilus assembly protein PilM;	-	-	-	ko:K02662	-	-	-	-	ko00000,ko02035,ko02044	-	-	-	PilM_2	133	1047	"contig-100_1"	3137	2.23	3.07	0.0905	0.0213	81.25	0.9809	0.701	0.719	75071	0.551
