CDSqueryname	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	MappedReadstoCDS	CDSLength	ParentContig	MappedReadstoParentContig	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers
contig-100_0_1	118173.KB235914_gene2829	0.0002	47.0	2EE2S@1|root,337XE@2|Bacteria,1G9GG@1117|Cyanobacteria	1117|Cyanobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	74	695	"contig-100_0"	2215	1.89	1.84	0.2817	0.1304	56.83	0.9727	0.511	0.533	33710	0.472
contig-100_0_12	1122619.KB892308_gene2321	1.56e-06	57.0	COG1475@1|root,COG1475@2|Bacteria,1MW2E@1224|Proteobacteria,2VIG0@28216|Betaproteobacteria,3T2AE@506|Alcaligenaceae	28216|Betaproteobacteria	K	Belongs to the ParB family	parB	-	-	ko:K03497	-	-	-	-	ko00000,ko03000,ko03036,ko04812	-	-	-	ParBc	170	6657	"contig-100_0"	2215	1.89	1.84	0.2817	0.1304	56.83	0.9727	0.511	0.533	33710	0.472
contig-100_0_16	123214.PERMA_1785	2.02e-08	62.4	29WNC@1|root,30I97@2|Bacteria,2G5GG@200783|Aquificae	200783|Aquificae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	175	8623	"contig-100_0"	2215	1.89	1.84	0.2817	0.1304	56.83	0.9727	0.511	0.533	33710	0.472
contig-100_1_1	983544.Lacal_0113	2.7e-10	68.9	COG0381@1|root,COG0381@2|Bacteria,4NFTG@976|Bacteroidetes,1HZTF@117743|Flavobacteriia	976|Bacteroidetes	M	UDP-N-acetylglucosamine 2-epimerase	neuC	-	3.2.1.183,3.2.1.184	ko:K08068,ko:K18429	ko00520,map00520	-	R10187	RC00005,RC00288	ko00000,ko00001,ko01000	-	-	-	Epimerase_2	96	922	"contig-100_1"	555	2.14	2.12	0.1533	0.1067	71.41	0.9819	0.442	0.455	11257	0.533
contig-100_1_2	309807.SRU_0608	2.65e-15	79.3	COG1083@1|root,COG1083@2|Bacteria,4NM98@976|Bacteroidetes	976|Bacteroidetes	M	CMP-N-acetylneuraminic acid synthetase	-	-	-	-	-	-	-	-	-	-	-	-	CTP_transf_3	66	1554	"contig-100_1"	555	2.14	2.12	0.1533	0.1067	71.41	0.9819	0.442	0.455	11257	0.533
contig-100_1_3	224719.Abm4_0312	1.66e-07	55.8	COG0110@1|root,arCOG01848@2157|Archaea,2XWNN@28890|Euryarchaeota	28890|Euryarchaeota	S	COG0110 Acetyltransferase (isoleucine patch superfamily)	maa	-	2.3.1.79	ko:K00661	-	-	-	-	ko00000,ko01000	-	-	-	Hexapep,Hexapep_2,Mac	37	1969	"contig-100_1"	555	2.14	2.12	0.1533	0.1067	71.41	0.9819	0.442	0.455	11257	0.533
contig-100_1_9	1123376.AUIU01000011_gene939	4.87e-91	291.0	COG0449@1|root,COG0449@2|Bacteria,3J0CP@40117|Nitrospirae	40117|Nitrospirae	M	Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source	glmS	-	2.6.1.16	ko:K00820	ko00250,ko00520,ko01100,ko01130,ko04931,map00250,map00520,map01100,map01130,map04931	-	R00768	RC00010,RC00163,RC02752	ko00000,ko00001,ko01000,ko01002	-	-	-	GATase_6,SIS	111	5125	"contig-100_1"	555	2.14	2.12	0.1533	0.1067	71.41	0.9819	0.442	0.455	11257	0.533
contig-100_2_1	717605.Theco_3992	5.97e-23	98.6	COG2003@1|root,COG2003@2|Bacteria,1TQ3K@1239|Firmicutes,4HB1W@91061|Bacilli,26S1K@186822|Paenibacillaceae	91061|Bacilli	E	Belongs to the UPF0758 family	radC	-	-	ko:K03630	-	-	-	-	ko00000	-	-	-	RadC	55	531	"contig-100_2"	496	2.13	2.25	0.1404	0.1111	68.13	0.9834	0.424	0.436	9366	0.529
contig-100_2_6	1094980.Mpsy_2427	0.000119	42.4	arCOG06141@1|root,arCOG06141@2157|Archaea,2Y28R@28890|Euryarchaeota	28890|Euryarchaeota	S	Family of unknown function (DUF5371)	-	-	-	-	-	-	-	-	-	-	-	-	DUF5371	12	3554	"contig-100_2"	496	2.13	2.25	0.1404	0.1111	68.13	0.9834	0.424	0.436	9366	0.529
contig-100_2_7	304371.MCP_2762	5.78e-10	61.6	COG3161@1|root,arCOG01031@2157|Archaea	2157|Archaea	H	4-hydroxybenzoate synthetase (chorismate lyase)	-	-	2.4.2.54,4.1.3.40	ko:K03181,ko:K06984	ko00130,ko00790,ko01100,ko01110,map00130,map00790,map01100,map01110	M00117	R01302,R10337,R11102	RC00491,RC02148	ko00000,ko00001,ko00002,ko01000	-	-	-	DUF98,GHMP_kinases_C,GHMP_kinases_N	42	4021	"contig-100_2"	496	2.13	2.25	0.1404	0.1111	68.13	0.9834	0.424	0.436	9366	0.529
contig-100_2_8	323261.Noc_2230	2.33e-21	95.9	28KBH@1|root,2Z9YH@2|Bacteria,1R3W2@1224|Proteobacteria,1RRIT@1236|Gammaproteobacteria,1X0GX@135613|Chromatiales	135613|Chromatiales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	70	4671	"contig-100_2"	496	2.13	2.25	0.1404	0.1111	68.13	0.9834	0.424	0.436	9366	0.529
contig-100_3_4	1134445.AJJM01000094_gene3651	0.000213	52.8	COG1404@1|root,COG1404@2|Bacteria,2GKJR@201174|Actinobacteria	201174|Actinobacteria	O	Belongs to the peptidase S8 family	-	-	-	-	-	-	-	-	-	-	-	-	PPC,Peptidase_S8	153	3312	"contig-100_3"	519	2.19	2.14	0.1064	0.0847	71.06	0.9823	0.426	0.435	10197	0.544
contig-100_4_1	321846.PS417_08165	7.31e-39	145.0	COG1086@1|root,COG1086@2|Bacteria,1MWKY@1224|Proteobacteria,1RNQ2@1236|Gammaproteobacteria	1236|Gammaproteobacteria	GM	Polysaccharide biosynthesis protein	fnlA	-	5.1.3.2	ko:K17716	ko00052,ko00520,ko01100,map00052,map00520,map01100	M00362	R00291	RC00289	ko00000,ko00001,ko00002,ko01000	-	-	-	Polysacc_syn_2C,Polysacc_synt_2	87	804	"contig-100_4"	481	2.1	1.92	0.1818	0.0974	68.49	0.9817	0.439	0.451	9276	0.524
contig-100_4_3	690850.Desaf_0142	1.97e-12	73.9	COG2089@1|root,COG2089@2|Bacteria,1MWG3@1224|Proteobacteria,42ME3@68525|delta/epsilon subdivisions,2WJXH@28221|Deltaproteobacteria,2M7VU@213115|Desulfovibrionales	28221|Deltaproteobacteria	M	PFAM N-acetylneuraminic acid synthase	-	-	2.5.1.56	ko:K01654	ko00520,ko01100,map00520,map01100	-	R01804,R04435	RC00159	ko00000,ko00001,ko01000	-	-	-	NeuB,SAF	75	1840	"contig-100_4"	481	2.1	1.92	0.1818	0.0974	68.49	0.9817	0.439	0.451	9276	0.524
contig-100_4_4	632335.Calkr_2283	8.57e-55	193.0	COG0399@1|root,COG0399@2|Bacteria,1TPDH@1239|Firmicutes,24862@186801|Clostridia,42G42@68295|Thermoanaerobacterales	186801|Clostridia	H	PFAM DegT DnrJ EryC1 StrS aminotransferase	spsC	-	-	-	-	-	-	-	-	-	-	-	DegT_DnrJ_EryC1	144	3054	"contig-100_4"	481	2.1	1.92	0.1818	0.0974	68.49	0.9817	0.439	0.451	9276	0.524
