TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
14525	"p__Pseudomonadota"	75768	1.086	2.28	0.0392	0.0203	61.87	0.9647	0.618	0.627	2364185	0.079	98748	0.182	0.046	"14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14526	"c__Gammaproteobacteria"	39260	1.121	2.26	0.0447	0.0213	60.59	0.9644	0.612	0.621	1141284	0.108	55299	0.194	0.049	"14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
159315	"c__Alphaproteobacteria"	36479	1.06	2.31	0.0331	0.0192	63.27	0.965	0.624	0.633	1214188	0.056	43412	0.17	0.043	"159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
232780	"p__Acidobacteriota"	34044	1.136	2.28	0.04	0.0197	69.0	0.9746	0.625	0.634	1228900	0.12	41711	0.184	0.057	"232780:p__Acidobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
257589	"p__Nitrospirota"	31038	1.186	1.93	0.0481	0.0266	62.63	0.9649	0.566	0.573	906538	0.157	71339	0.221	0.063	"257589:p__Nitrospirota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
257590	"c__Nitrospiria"	30987	1.186	1.93	0.0482	0.0265	62.64	0.9649	0.566	0.573	905366	0.157	71287	0.222	0.063	"257590:c__Nitrospiria:class;257589:p__Nitrospirota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
286859	"c__Vicinamibacteria"	30916	1.133	2.31	0.0396	0.0194	70.67	0.9755	0.63	0.638	1164005	0.118	37342	0.186	0.059	"286859:c__Vicinamibacteria:class;232780:p__Acidobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
296761	"o__Vicinamibacterales"	30817	1.133	2.31	0.0395	0.0195	70.74	0.9756	0.63	0.638	1162425	0.117	37035	0.186	0.059	"296761:o__Vicinamibacterales:order;286859:c__Vicinamibacteria:class;232780:p__Acidobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
257591	"o__Nitrospirales"	30623	1.189	1.93	0.0482	0.0267	62.61	0.9649	0.565	0.572	891147	0.159	70869	0.222	0.063	"257591:o__Nitrospirales:order;257590:c__Nitrospiria:class;257589:p__Nitrospirota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
257592	"f__Nitrospiraceae"	30569	1.189	1.93	0.0483	0.0267	62.63	0.9649	0.565	0.572	890123	0.159	70803	0.222	0.063	"257592:f__Nitrospiraceae:family;257591:o__Nitrospirales:order;257590:c__Nitrospiria:class;257589:p__Nitrospirota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
